,locus_name,BF,FC,BF_k1_1,BF_k1_2
0,15S_rRNA,-4.916232454681337,0.3948329186036198,-4.303983220105502,2.2961033381014153
1,21S_rRNA,-5.6279079265924885,0.06094287960681207,5.6360441323527155,19.6833198836563
2,HRA1,-6.047580024612302,-0.627556751453266,-6.031102839374026,-6.071454909866916
3,ICR1,-5.794428840314651,-0.024731999352008125,-5.000305970392929,-5.179957470359889
4,LSR1,-4.9210233261544545,0.08834958998629214,-1.0171606441667416,63.433792547720174
5,NME1,-6.114600992660384,-0.06994210863965483,-3.7678166457355773,-4.725431842272229
6,PWR1,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
7,Q0010,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
8,Q0017,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
9,Q0032,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
10,Q0045,-6.614267084676175,-0.45067885212360637,-6.28061764070409,-5.992110819302912
11,Q0050,-6.354975195267755,0.09014978656340457,-4.469652084914948,-3.4485220859593793
12,Q0055,-6.414939128572787,-0.17468707089704846,-5.649635066830647,-3.5774675403432776
13,Q0060,-7.174814748459898,-0.06365564717205331,-6.28061764070409,-6.506078691539317
14,Q0065,-7.1653392939777945,-0.6486181655638206,-6.596108883616024,-6.213378023836737
15,Q0070,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
16,Q0075,-6.66905576918721,-2.063655700981018,-6.596108883616024,-6.506078691539317
17,Q0080,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
18,Q0085,-6.786732374642063,-1.0636557025752833,-6.3090740781525785,-6.196556490940826
19,Q0092,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
20,Q0105,-5.962008505404455,-1.8006213706124663,-6.28061764070409,-5.886871409359426
21,Q0110,-7.018097095983392,1.5213068904845881,-6.596108883616024,-6.506078691539317
22,Q0115,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
23,Q0120,-7.309651642601987,0.9363443720928211,-6.596108883616024,-6.506078691539317
24,Q0130,-6.594275791263759,-0.16674919620283182,-5.964660335160377,-3.8878135197039945
25,Q0140,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
26,Q0142,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
27,Q0143,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
28,Q0144,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
29,Q0160,-6.8409838075071585,0.2258510005813629,-6.596108883616024,-6.071454909866916
30,Q0182,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
31,Q0250,-6.683771768513391,0.29891449412665466,-5.964660335160377,-5.887034255161646
32,Q0255,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
33,Q0275,-6.710605883236524,-0.2442279393149534,-6.169208092107646,-5.510702029025141
34,Q0297,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
35,RDN18-1,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
36,RDN18-2,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
37,RDN25-1,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
38,RDN25-2,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
39,RDN37-1,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
40,RDN37-2,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
41,RDN5-1,-2.1836147924488816,0.28179340782729756,1.5356033745721296,45.48894081952445
42,RDN5-2,-6.384500988905385,-0.27010666414276313,-5.649635066830647,-5.26798967806115
43,RDN5-3,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
44,RDN5-4,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
45,RDN5-5,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
46,RDN5-6,-4.627645532530823,0.23890852217228742,-1.7757341390619106,39.741913328961864
47,RDN58-1,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
48,RDN58-2,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
49,RNA170,-5.989736193337085,0.2551668715300686,-5.827525548441837,-5.858413679739985
50,RPM1,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
51,RPR1,-4.086792083294304,0.22798047532062446,-3.022431294535769,8.031270160210472
52,RUF20,-5.518758291549579,0.07827207194998377,-4.649194649849349,-5.237027054549844
53,RUF21,-5.9745132766303,0.1075313682147707,-3.408793194845056,-3.4442725159698386
54,RUF22,-7.095422149460647,-0.06365564796918559,-6.28061764070409,-6.506078691539317
55,RUF23,-6.4511753935427,0.08572204143901155,-5.8746508798720285,-5.858679839906194
56,RUF5-1,-4.0899533812896305,0.10291805599486883,-4.177955319196271,-4.3384392562307506
57,RUF5-2,-2.9187651100484264,0.17416264532798748,-4.368047490895841,-4.038057735603509
58,SCR1,-1.2826688859595499,0.12833101290240612,47.87546698760476,439.1887023800865
59,SRG1,-2.7194624131313394,0.15198918421330504,-2.5241778138750606,-2.854742211778167
60,TLC1,-2.7328386248580503,0.06389643310199976,-3.1718218192604373,-4.672582305124943
61,YAL001C,-5.394105757166518,0.026228820642463388,-1.4901191331624806,-5.0202347037524175
62,YAL002W,-5.254261162150911,0.03472759522829925,-4.373099953021834,-4.953062803321784
63,YAL003W,-4.422360484790706,0.009193521576139856,69.16425686262313,-3.2520987176561817
64,YAL004W,-7.601206186619546,-0.06365564557778924,-6.596108883616024,-6.506078691539317
65,YAL005C,48.20692957683669,0.09100962036509903,0.43721367490835655,-1.7161644621654715
66,YAL007C,-5.074059099995208,0.026048184453504344,-3.3765428894087295,-4.84467989124609
67,YAL008W,-3.9717326816835388,0.0935318142338913,-5.0537590000626835,-4.962974747679931
68,YAL009W,-5.543988827153428,0.02482403536058792,-4.625599402050798,-4.802010289415494
69,YAL010C,-3.380337604105905,0.12253399101454955,-4.510468742840735,-4.931248866075835
70,YAL011W,-5.284557892386948,-0.04256370106419748,-4.851897125716419,-5.077064913921809
71,YAL012W,0.48988698038330764,-0.048669971277333655,-4.515084638110982,6.141635715541339
72,YAL013W,-4.9980819191811365,0.026892293961771136,-4.106353604778673,-3.4366878819511193
73,YAL014C,-4.617519459442719,-0.04039559421361592,-4.791824122051931,-0.7372375291112965
74,YAL015C,-5.570202718921884,0.009306740189281147,-4.504491925143433,-4.420055345783145
75,YAL016C-A,-6.148793043409478,-0.0017762028974370198,-5.643981792735914,-5.277550586648217
76,YAL016C-B,-5.504458779104769,0.18427263356273696,-5.3158040293401365,-5.476301595336938
77,YAL016W,-4.961719278216326,0.020242352265153665,-0.16449186798122975,-4.690482879337915
78,YAL017W,-2.589347007537528,0.07435760561635818,10.382183590885266,-4.460427140806708
79,YAL018C,-5.935120270727868,0.7328111933773195,-5.96264922139556,-6.20488585274633
80,YAL019W,-2.9893878300870798,-0.08443061951909142,-4.727940503234227,-4.946393917789909
81,YAL019W-A,-6.643858777558221,-0.9116526291922437,-6.596108883616024,-6.196556490940826
82,YAL020C,-5.55016304477366,-0.008773687731400234,-1.8951325207968004,-3.5776369341626344
83,YAL021C,-4.844169025189768,-0.029674371769444086,-3.6749612634988935,-2.703232266925663
84,YAL022C,-4.21968629581552,-0.04979680121383362,-4.8555366281475365,-4.756958531350089
85,YAL023C,-4.163911663662351,-0.023391483081444387,-3.273239483824432,0.23442864221681706
86,YAL024C,-5.676213835621589,-0.013348692970246495,-5.152440097128083,-4.758582681717517
87,YAL025C,5.759145437141111,-0.15461325575660392,-4.803157762619261,1.30409719993541
88,YAL026C,-5.277822052798006,-0.018248552218532242,-0.8886000145452556,-4.849563175626116
89,YAL026C-A,-3.673916169299839,0.5918998822862108,-5.581858355049168,-5.180749147400564
90,YAL027W,-5.58902274978666,0.029324993261666436,-5.027529259610122,-5.0260820527791585
91,YAL028W,-3.9739985322626787,0.09301725207343511,-4.954826414343546,-4.591505232619421
92,YAL029C,-5.331108422132214,-5.944925960000077e-05,3.807941779838494,-4.399333899944247
93,YAL030W,-4.738708658352076,0.05028036287569597,-4.768296054812668,-4.775681535134103
94,YAL031C,-3.354178797678038,0.10194923050252559,-4.669367643205922,-4.510510373949288
95,YAL031W-A,-6.462938751491989,0.032559694927444455,-5.205995187091687,-6.000440183680061
96,YAL032C,-5.512654173131563,0.0005417240534344639,-3.152684782356101,-4.687739180255047
97,YAL033W,-5.649038124814171,-0.00836444927759623,-4.5859815293831145,-5.124457546574043
98,YAL034C,-2.1838398968294075,0.11606602230310542,-4.5755476915461415,-4.857469022154247
99,YAL034C-B,-5.82547916286047,0.14656256616714816,-5.317823904976791,-5.440530274017994
100,YAL034W-A,-5.848066326923174,-0.0001527044291443234,-5.176067152310209,-5.2964807299507415
101,YAL035W,-2.0431486235619327,-0.036467760967950534,0.0654140037363785,-4.524422599950546
102,YAL036C,1.5522058063027173,-0.15347004012993393,-4.582334720637438,-3.6712470476917067
103,YAL037C-A,-5.370405496465978,0.2541649064835449,-2.2086217703588114,-5.834005294966538
104,YAL037C-B,-5.6267289760512424,-0.022141723700917153,-5.089120242342966,-4.569421990702036
105,YAL037W,-5.235736852588243,0.17812219131884086,-5.3924874699709155,-5.146019775135524
106,YAL038W,69.87808613769954,-0.07654616726748151,-3.4561762367460265,-2.283456331588177
107,YAL039C,-4.968944259062675,0.017975386387260137,-2.251282499773765,1.0549873307849091
108,YAL040C,-4.630241170346382,-0.04551742903965901,-4.863122653537053,-2.7499407981500736
109,YAL041W,-4.564441316837692,-0.053757476428265526,-4.820253943309618,-4.881101979337151
110,YAL042C-A,-7.017885743277027,0.9363443889663003,-6.596108883616024,-6.506078691539317
111,YAL042W,-4.709330569359842,0.016117551072600426,-4.520985279875005,2.4279083959913415
