genes,logFC,logCPM,F,PValue,FDR
YML123C,-4.81842430833587,9.33142945658906,1526.10436617565,2.76475611774136e-12,1.56317684689401e-08
YDR033W,-3.91644838508687,9.07854588584311,1348.82470802909,5.11259802745384e-12,1.56317684689401e-08
YAR071W,-4.3613357432101,7.75137354484672,1129.42794196561,1.23631933180427e-11,2.34385083755202e-08
YHR215W,-4.56160219068465,7.36011319946407,1081.57143322538,1.5331812510561e-11,2.34385083755202e-08
YOR290C,-7.36052925362384,6.48080437155211,797.419032216852,7.12482532895193e-11,7.64178618213313e-08
YIL121W,-2.82704626081838,6.65659278399326,785.376463649477,7.49807311411264e-11,7.64178618213313e-08
YDR077W,-3.53017654754887,11.6577917281145,683.467918768697,1.49142311722101e-10,1.30286462311522e-07
YGR234W,-4.32137507014693,8.53024788138047,652.854262389031,1.87054919126332e-10,1.4298010380719e-07
YHR136C,-4.49478137356593,5.66415542627129,552.172950933359,4.27935288713747e-10,2.60113460843485e-07
YER081W,3.04216365270044,9.09377351348132,547.331250815311,4.46455205852715e-10,2.60113460843485e-07
YIL169C,-2.92197089933276,7.73642535240885,542.143496299215,4.67906470855002e-10,2.60113460843485e-07
YOR153W,-2.83447676654007,9.82201951976344,485.273407058783,8.0733327663366e-10,4.11403582217903e-07
YER001W,-2.3269804928982,6.31233414747958,459.469687494929,1.05609007835149e-09,4.64119876065126e-07
YOL155C,-2.13858119855381,7.92749484065506,458.892575992889,1.06258025591362e-09,4.64119876065126e-07
YBR092C,-3.00671623970803,7.43608322096481,450.675909549494,1.16118635347496e-09,4.7337697009996e-07
YPR149W,-2.10758006631359,8.44132906155972,430.815568612778,1.44865609079811e-09,5.53658249701903e-07
YDR261C-D,-2.64075388676987,7.52521710952772,422.597907934617,1.59217863030351e-09,5.72716019076823e-07
YDR406W,-1.92456154421229,7.3229627704338,413.226071509561,1.77722161666702e-09,6.0376167699549e-07
YKL062W,-2.11982139800348,6.99772964036863,407.16724587586,1.91064699823236e-09,6.14926652325837e-07
YPL019C,-2.26202808344081,7.78660301257837,390.284749029388,2.35100011788937e-09,7.00537303651151e-07
YDR399W,-2.12157476548121,7.72285612313666,388.452916123891,2.40576997165563e-09,7.00537303651151e-07
YGR035C,-3.55491577146154,5.54755859003263,380.652539515236,2.65780388498013e-09,7.15343425050976e-07
YOL103W-B,-2.55473632314266,7.78246899063989,374.112692743385,2.89187895429726e-09,7.15343425050976e-07
YER138C,-2.50564768621143,7.53975052795358,370.974958043738,3.01347269897447e-09,7.15343425050976e-07
YPR137C-B,-2.3903982684289,7.35226530335434,370.939833064085,3.01486987068307e-09,7.15343425050976e-07
YGL028C,-1.89127788443706,6.68642553960756,367.925662118726,3.13756773488585e-09,7.15343425050976e-07
YPR158C-D,-2.53979604674565,7.79231448677559,364.805920420858,3.27090665921388e-09,7.15343425050976e-07
YBR093C,-2.4244184227423,7.35576272756368,364.701570273857,3.27548910898239e-09,7.15343425050976e-07
YML039W,-2.51330748278008,7.60731869100504,360.034687384896,3.48825515750106e-09,7.35540699590309e-07
YDR098C-B,-2.24578091098142,7.34872520071982,350.961247511166,3.95140953914442e-09,8.02103696860904e-07
YAR009C,-2.49332772874177,7.19444233383689,346.521818248028,4.20478144260915e-09,8.02103696860904e-07
YJR029W,-2.33168041181448,7.65465266199959,345.27403668864,4.27945754268931e-09,8.02103696860904e-07
YDL039C,-3.41485797359825,7.75077829446093,341.905917133594,4.48918312456272e-09,8.02103696860904e-07
YFR015C,-2.89935968923249,9.18186336509456,339.171260615605,4.66852434634697e-09,8.02103696860904e-07
YAL061W,-2.20151362292105,7.49686282645507,339.073190593794,4.67512611127927e-09,8.02103696860904e-07
YLR157C-B,-2.52126804703939,7.85199041745163,338.378763437535,4.72211497743132e-09,8.02103696860904e-07
YPL257W-B,-2.45679285305443,7.35055431755318,334.30138867516,5.00975483029387e-09,8.27963534790459e-07
YML045W,-2.40055061863536,7.6298178044813,331.058868495429,5.25358075605976e-09,8.45411745350143e-07
YBR067C,-2.9746054656529,8.99896761534957,324.925397269635,5.75492520105943e-09,9.0234275908919e-07
YDL037C,-4.29500138570303,4.8679769784561,322.947499796484,5.93985905631654e-09,9.08055953234392e-07
YDR365W-B,-2.38592582487799,7.47045660932198,319.422600459958,6.25430747570457e-09,9.3280707838862e-07
YER124C,-1.81291229633491,6.39824503166456,313.195665756105,6.88355395816614e-09,1.00221267748062e-06
YJR027W,-2.39643189912605,7.85616539942068,301.65106485079,8.26353581397186e-09,1.17515166284739e-06
YOR273C,-2.31067872479724,8.00227932157738,294.149258628418,9.3396002517614e-09,1.24999162538031e-06
YGL255W,-1.73427179162081,6.96866590560866,294.041141123598,9.35631804359185e-09,1.24999162538031e-06
YGR038C-B,-2.28001124990345,7.57332813187797,293.739763155048,9.40304411569816e-09,1.24999162538031e-06
YGR027W-B,-2.4423700380515,7.72572503019347,292.122966592775,9.65859606925932e-09,1.25664499922385e-06
YDR281C,-3.66773285928143,3.44830491154882,288.11741032275,1.03913891706543e-08,1.32381968288648e-06
YGR161C-D,-2.13155548908309,7.5001679481683,280.934633041012,1.16749971412888e-08,1.39063965094016e-06
YLR227W-B,-2.34914788939429,7.45233498915151,280.861949287795,1.1689674384047e-08,1.39063965094016e-06
YER011W,-4.48255932132168,7.6678326328878,280.427394846003,1.17790556533768e-08,1.39063965094016e-06
YDR210C-D,-2.08019323766047,7.38783178145459,280.193709153152,1.18255538591804e-08,1.39063965094016e-06
YIL011W,-1.88517965769157,5.43392012947009,275.958499645106,1.27335787862834e-08,1.45869052881131e-06
YBR012W-B,-2.06243925135464,7.083442388136,274.724651253989,1.30119621802828e-08,1.45869052881131e-06
YMR050C,-2.39134203372532,7.82830767821372,274.256989709049,1.31198657538221e-08,1.45869052881131e-06
YNL284C-B,-2.1697279042165,7.90472838295536,270.427573140359,1.40452618679605e-08,1.53369243433175e-06
YHR214C-B,-2.21273349719563,7.5263877960585,268.434784586345,1.45577762369311e-08,1.54924044750163e-06
YDR316W-B,-2.32481280901486,7.42604033761228,267.917951171193,1.46943492976443e-08,1.54924044750163e-06
YBR244W,-2.45987769821851,4.92607739901847,266.550621908238,1.50666740811858e-08,1.56157138993985e-06
YPL025C,3.29326836733775,3.82422717676873,264.719883990558,1.56272370326262e-08,1.59267590757516e-06
YKL109W,-2.20989376325868,7.60322683720369,262.34505834942,1.62689964630519e-08,1.63090021920594e-06
