genes,logFC,logCPM,F,PValue,FDR
YIL121W,-2.81752141244546,6.70254722473961,5324.94938025301,9.67950135555313e-47,5.91998302905629e-43
YDR033W,-3.81822294286262,8.98782735140564,5135.3936078637,2.09495223662129e-46,6.40636393958791e-43
YML123C,-4.64246001316766,9.15644033258752,4304.5956123923,9.02864904455032e-45,1.84064058521566e-41
YOR290C,-7.47106230599617,6.55405877609566,4275.91647577072,1.57851931799504e-44,2.41355603721441e-41
YGR234W,-4.17685223323835,8.492605409358,3953.64774512868,5.52516462701532e-44,6.75838137176514e-41
YHR215W,-4.50112881872755,7.25755230356368,3850.95793149951,9.70274016664214e-44,9.89032647653055e-41
YAR071W,-4.29118999609813,7.6220150073217,3654.14264474134,2.95871322775008e-43,2.58507001441707e-40
YOR153W,-2.82186729803427,9.81501993200678,2945.45057819821,2.88049057047473e-41,2.05614773281392e-38
YER081W,3.15591039866831,9.1060005274396,2938.63107981255,3.02572426346064e-41,2.05614773281392e-38
YER138C,-2.44716612379377,7.5510258971518,2818.73169866194,7.3198419752605e-41,4.47681535206932e-38
YPL257W-B,-2.46664633964187,7.35020361683306,2593.77979778724,4.26379397500994e-40,2.37066945010553e-37
YAR009C,-2.44254899516136,7.20734769899206,2536.07729457126,6.86500384205322e-40,3.49886362483313e-37
YPR158W-B,-2.31405016878623,7.42564078240683,2453.2896679427,1.38553322980455e-39,6.51840094883434e-37
YML045W,-2.30931617288586,7.61728670883437,2431.60847599716,1.67169595625934e-39,7.14499715546904e-37
YGR038C-B,-2.27953248621637,7.5775060639346,2426.19613297843,1.7523701329633e-39,7.14499715546904e-37
YHR136C,-4.68940499401699,5.68744434224792,2406.30628817404,2.12465696038118e-39,8.12150123105706e-37
YDR261C-D,-2.57249357204668,7.54353841250212,2387.17790346668,2.46906875746705e-39,8.8828379533344e-37
YER001W,-2.35983476397277,6.33374335111642,2371.20362557594,2.84885951195806e-39,9.67979154174193e-37
YPL019C,-2.4661079120905,7.96667234001107,2347.49893083751,3.5189463797679e-39,1.08734816650276e-36
YML039W,-2.48602431616747,7.59383289605787,2346.34623055875,3.55574939994361e-39,1.08734816650276e-36
YLR157C-B,-2.43013202197387,7.8666897648473,2320.62014649718,4.48870681851542e-39,1.30728242390668e-36
YPR137C-B,-2.28783593986262,7.37380523822758,2310.72576920721,4.9129991283094e-39,1.36581375767001e-36
YJL012C,-1.42033758472051,8.18031350545098,2271.80063893803,7.03423923471022e-39,1.87049596345599e-36
YJR029W,-2.28016496032783,7.6701887226279,2240.50079765965,9.42969303878362e-39,2.40300010938336e-36
YJR027W,-2.38909411580473,7.82615843239936,2215.85082854834,1.19112999991598e-38,2.91398043179445e-36
YPR158C-D,-2.43662295410084,7.782592427799,2210.22553268824,1.25681324358866e-38,2.95641146068779e-36
YOL103W-B,-2.49059395705178,7.77527553513852,2181.92727591207,1.64976849766447e-38,3.73703115989477e-36
YDR365W-B,-2.3491986089104,7.45855204266137,2177.14067217772,1.72807436420335e-38,3.77460814695275e-36
YLR227W-B,-2.33823846990371,7.43518756894925,2060.48150583889,5.52294892904091e-38,1.16477088448325e-35
YDR098C-B,-2.1172799232842,7.34775125341985,2051.88537053515,6.03186484376059e-38,1.22969617948133e-35
YBR012W-B,-2.04407273225374,7.10966373746663,2006.28307037082,9.68754794663899e-38,1.91125945940787e-35
YGR027W-B,-2.40054591543857,7.73088773134309,1978.15705101209,1.30437890492101e-37,2.49299418203027e-35
YDR406W,-1.98060100464808,7.41953322050444,1969.54764143215,1.42992014860451e-37,2.6501186754137e-35
YHR214C-B,-2.19270520808429,7.53697242414406,1956.66193271416,1.6419634622642e-37,2.95360251035526e-35
YGR161C-D,-2.07059322375689,7.50715482623438,1907.48751918329,2.80634611749591e-37,4.90388938702999e-35
YDR316W-B,-2.27983023368788,7.43181292596362,1900.50917774955,3.03148761920561e-37,5.15016063307265e-35
YCL064C,-1.35223781781728,8.53176953692927,1864.42248574919,4.53796270665693e-37,7.50112970646318e-35
YMR045C,-2.24369092898925,7.47413447628605,1823.9213857649,7.20331625263373e-37,1.159354794766e-34
YOR273C,-2.33367067134201,7.99730305954204,1806.07044704592,8.85826762416322e-37,1.38915807152262e-34
YDR210C-D,-2.10186288679401,7.38718885107918,1791.33899894527,1.05230434759611e-36,1.60897334747446e-34
YHL047C,-1.81140777467267,7.61336546478694,1748.83772782232,1.74303584406252e-36,2.60009932250887e-34
YOR142W-B,-2.15194138920919,7.23380317900835,1732.98030351367,2.11071676916808e-36,3.07360565719809e-34
YER160C,-2.23982415526593,7.33297753318319,1700.92583770422,3.12406248488333e-36,4.44343399012708e-34
YBL005W-B,-2.17856536168818,7.38685745065206,1697.07332327367,3.2763771198255e-36,4.55416419655744e-34
YMR050C,-2.32236442929019,7.79063669201862,1673.27336713798,4.40707555192888e-36,5.98970535013268e-34
YDR281C,-3.7696303462704,3.30947780569841,1678.88667864817,4.79459976589918e-36,6.37473308005204e-34
YNL284C-B,-2.14198596143702,7.92924794290714,1651.87266003753,5.77382853863809e-36,7.51334794517246e-34
