,locus_name,BF_21,FC
0,15S_rRNA,-5.57861110269603,0.36424445968261143
1,21S_rRNA,-3.730820568654442,0.2698842318242573
2,HRA1,-5.981567650671708,-0.6283294138669991
3,ICR1,0.9239162346551347,0.3610371211302315
4,LSR1,-5.603084266638721,-0.02435583329336097
5,NME1,-5.918230451147039,0.15755725445977414
6,PWR1,,
7,Q0010,,
8,Q0017,,
9,Q0032,,
10,Q0045,-6.314132131205129,1.077939809478113
11,Q0050,-6.023002510087056,0.2860481899410656
12,Q0055,-6.272043799457273,0.2873932138378931
13,Q0060,-6.91625780792483,0.4929771967825991
14,Q0065,-7.019218068468644,-0.5070228577701023
15,Q0070,,
16,Q0075,-7.144473640539059,-0.9220603584834174
17,Q0080,,
18,Q0085,-6.00487273335331,1.6629023346066742
19,Q0092,,
20,Q0105,-6.811874698540313,0.3409741062064937
21,Q0110,-7.121011462380269,1.0779396946348105
22,Q0115,,
23,Q0120,-6.995755889878036,0.6629021967904393
24,Q0130,-6.474615564743187,-0.028975552380022467
25,Q0140,,
26,Q0142,,
27,Q0143,,
28,Q0144,,
29,Q0160,-6.351597556814861,-0.8151452751694891
30,Q0182,,
31,Q0250,-6.003970831669457,0.9259368050345093
32,Q0255,-6.49517244057759,2.0779397491875122
33,Q0275,-6.5674095925103915,0.5373713778661233
34,Q0297,,
35,RDN18-1,,
36,RDN18-2,,
37,RDN25-1,,
38,RDN25-2,,
39,RDN37-1,,
40,RDN37-2,,
41,RDN5-1,4.3009573124672,0.7910631232848526
42,RDN5-2,-6.256776662257791,-0.30057214687260947
43,RDN5-3,,
44,RDN5-4,,
45,RDN5-5,,
46,RDN5-6,9.406803035491171,1.492980963712684
47,RDN58-1,,
48,RDN58-2,,
49,RNA170,-3.6981350294897375,0.6574899982888477
50,RPM1,,
51,RPR1,7.711890319111638,-1.0289803347562347
52,RUF20,-2.2122123677242778,0.2618626300354792
53,RUF21,-4.847948842512174,0.23075011380937552
54,RUF22,-7.019218068468644,-0.5070228577701023
55,RUF23,-3.703657286005405,1.0147467624873496
56,RUF5-1,-5.484754587105995,0.013138575722092687
57,RUF5-2,-5.589397889239579,-0.011287961291211452
58,SCR1,16.578727224588423,0.5037080260735624
59,SRG1,103.87247215040799,-1.2514866968580554
60,TLC1,69.42590569421243,0.3629740358443134
61,YAL001C,55.21857758320972,0.5502946594342768
62,YAL002W,-5.072860734977721,-0.0447456128676467
63,YAL003W,816.9389297274166,-0.5496494514769489
64,YAL004W,,
65,YAL005C,561.3264605517656,-0.3953190250682815
66,YAL007C,63.781389589204394,0.42435303143871583
67,YAL008W,29.213737840376325,0.48109510865385147
68,YAL009W,16.399240029333892,0.4178916572881559
69,YAL010C,2.626392209715046,0.26169931657756124
70,YAL011W,41.953027335635774,0.5525649392386422
71,YAL012W,664.4590610945838,0.5848368859557044
72,YAL013W,171.16656496476637,0.6442463910840603
73,YAL014C,132.8880420311746,0.5897158244581423
74,YAL015C,93.1748547430774,0.768632342061156
75,YAL016C-A,-3.1627500946050624,-0.6325553680249516
76,YAL016C-B,22.175130374575236,1.2308638188325922
77,YAL016W,15.218200852847845,0.18819878053218247
