,locus_name,BF_21,FC
0,15S_rRNA,-0.9603999175163279,1.6918106783733426
1,21S_rRNA,-3.1133821878395924,0.47222872158408175
2,HRA1,-6.067988689652606,0.9073147559329425
3,ICR1,-1.359382211940756,0.42623725822539926
4,LSR1,5.588255515571571,0.624304574746041
5,NME1,-4.974644867006492,0.46806217729179606
6,PWR1,,
7,Q0010,,
8,Q0017,,
9,Q0032,,
10,Q0045,-6.490879027261457,0.7698110666727574
11,Q0050,-5.354961816757445,0.8171173931804546
12,Q0055,-6.072788217811788,0.38648260720576216
13,Q0060,-6.825022146238165,1.0328454161219673
14,Q0065,-6.242680735752813,-1.9671547960567153
15,Q0070,-6.834909585834307,-0.9671546905746263
16,Q0075,,
17,Q0080,,
18,Q0085,-6.709914582629609,-0.552117190081274
19,Q0092,,
20,Q0105,-6.519020285159655,1.617807970798678
21,Q0110,-6.834909585834307,-0.9671546905746263
22,Q0115,,
23,Q0120,-6.518964018012764,1.0328454712920365
24,Q0130,-3.309514446458417,2.69581124060701
25,Q0140,,
26,Q0142,,
27,Q0143,,
28,Q0144,,
29,Q0160,-5.89343363709227,-1.7745098223819156
30,Q0182,,
31,Q0250,-6.5106539082817845,-0.7041203350528624
32,Q0255,-6.519020285159655,1.617807970798678
33,Q0275,-6.490879027261457,0.7698110666727574
34,Q0297,,
35,RDN18-1,,
36,RDN18-2,,
37,RDN25-1,,
38,RDN25-2,,
39,RDN37-1,,
40,RDN37-2,,
41,RDN5-1,-2.0236384468957307,0.5395456364723807
42,RDN5-2,-5.770456609511069,-0.7745100212012019
43,RDN5-3,,
44,RDN5-4,,
45,RDN5-5,,
46,RDN5-6,-5.188062949475717,0.36446820111720035
47,RDN58-1,,
48,RDN58-2,,
49,RNA170,-4.736640343597199,0.6726711438674609
50,RPM1,,
51,RPR1,-4.112203872448342,-0.47104807075846444
52,RUF20,11.396744474895993,0.8742673783885223
53,RUF21,-3.19570766941086,0.6418964061360344
54,RUF22,-6.834909585834307,-0.9671546905746263
55,RUF23,-3.6847572899377634,1.4349450625052236
56,RUF5-1,-5.150030611782218,0.07173683459574269
57,RUF5-2,-4.825226113633369,0.14754406749720114
58,SCR1,50.25573265366093,1.0288262111837219
59,SRG1,8.931476394569485,-0.7021436495577573
60,TLC1,69.97647795259745,0.5506809080028624
61,YAL001C,31.186508236870402,0.6207770970993471
62,YAL002W,1.0701047556992906,0.2728358786347584
63,YAL003W,331.39216914725637,-0.5022448678718977
64,YAL004W,,
65,YAL005C,218.61303698827552,-0.34943310108463327
66,YAL007C,42.84201048192667,0.5178398861981837
67,YAL008W,19.05410403440426,0.5850083495151334
68,YAL009W,4.203600418582792,0.3966831243579236
69,YAL010C,-1.674997398423128,0.2540280405904579
70,YAL011W,26.11668245047663,0.6339804798087162
71,YAL012W,234.96432639349555,0.4989937058762771
72,YAL013W,33.65985628569096,0.42549629885508483
73,YAL014C,29.212551564106043,0.4314351366251768
74,YAL015C,61.89275974660837,0.9004250906998711
75,YAL016C-A,-5.603518684959097,-0.2978007674787783
76,YAL016C-B,2.4353821862937064,1.0328510986713484
77,YAL016W,15.161407918472838,0.26743651055210294
78,YAL017W,22.273010630967175,0.36674415159760243
79,YAL018C,-6.393877038645256,0.1848485192831215
80,YAL019W,23.281739496915897,-0.5017029049350952
81,YAL019W-A,-6.625705220439355,0.03284536580994741
82,YAL020C,-1.58020743481541,0.22012680497433768
83,YAL021C,-1.2166092149868137,-0.1442656153961534
84,YAL022C,-0.6852909657254866,0.15487915283457648
85,YAL023C,-3.0248479308803833,0.05352548486519222
86,YAL024C,2.7406055025652463,0.4243594318310811
87,YAL025C,193.1846943787593,-1.2872099271847224
88,YAL026C,1.4487208753655634,0.20569642076284836
89,YAL026C-A,-2.565676515700558,0.8402031173390674
90,YAL027W,-3.971115094251318,0.19762569434870472
91,YAL028W,12.123845861277509,0.4657909695422193
92,YAL029C,-1.3982264889166358,0.128876442125058
93,YAL030W,53.27570837935573,0.7319213986128479
94,YAL031C,32.319091029193494,0.6699948068503708
95,YAL031W-A,-2.897123571997924,1.5522210490201707
96,YAL032C,32.972821278735765,0.6124184881933477
97,YAL033W,-4.708117371682507,0.1287737202346462
98,YAL034C,-1.2986396482911502,0.20278418008174606
99,YAL034C-B,-5.373604846834737,0.27588950309620014
100,YAL034W-A,1.575679331806727,0.5520492867029799
101,YAL035W,22.465111929155054,-0.18708798430080956
102,YAL036C,36.08394900582228,-0.6487848166171774
103,YAL037C-A,-5.5675492259671255,-0.21651503407144268
104,YAL037C-B,-0.16897094296591145,0.36727459865127876
105,YAL037W,-2.079216138601906,0.5708688915115266
106,YAL038W,3615.7866088346677,-1.0644525919067143
107,YAL039C,9.343888535555497,0.2107346471679646
108,YAL040C,-0.5078259823162526,-0.18368371013887186
109,YAL041W,-3.203166219349376,0.13158489131297646
110,YAL042C-A,-6.825022146238165,1.0328454161219673
111,YAL042W,45.443113731407365,0.28471071030211353
112,YAL043C,1.3922778416243597,0.20807533597918404
113,YAL044C,81.49647613592033,-0.7186771106969353
114,YAL044W-A,2.8092974141127485,1.0395771813277674
115,YAL045C,-6.483998421630293,0.032845369453480454
116,YAL046C,-3.1365958182216516,0.213140305317354
117,YAL047C,3.3687885793391534,0.513350856549796
118,YAL047W-A,-6.700027142667862,0.6178079180576365
119,YAL048C,-4.07729177760441,-0.23709245233526374
120,YAL049C,31.287553777696786,0.543242645323738
121,YAL051W,-0.5723553007277747,0.232079028446894
122,YAL053W,380.90203360522185,0.7728482621500504
123,YAL054C,54.6798371279094,0.9910183094464863
124,YAL055W,20.608011972553975,0.6243090726115671
125,YAL056C-A,-6.381431819825399,-0.10465820339397953
126,YAL056W,31.45588197206927,0.40355903470847293
127,YAL058W,-5.3846196369872645,-0.025504628190917273
128,YAL059C-A,,
129,YAL059W,2.159170361931028,-0.6133994625070165
130,YAL060W,-5.024137958314766,-0.008092706271743277
131,YAL061W,655.1202019438136,-1.920731570103018
132,YAL062W,3.2926480839509393,0.3047061905501431
133,YAL063C,-3.9586778183675744,0.15700267621316535
134,YAL063C-A,-3.1366561834937547,2.032846502520757
135,YAL064C-A,-4.656633856498036,-0.39397137306755053
136,YAL064W,-1.0636935789255968,2.002473614928827
137,YAL064W-B,-5.880611952429099,-0.11154487800975613
