,locus_name,BF_21,FC,BF_k1_1,BF_k1_2
0,15S_rRNA,-5.038069631149725,-0.4454169045026864,-5.612761935074805,5.777916423326108
1,21S_rRNA,0.4336939274381871,-0.38024753414939283,-4.206044280494589,39.88786268307321
2,HRA1,-6.475923374087174,0.28606392733633756,-5.858218271799438,-6.1748238175029835
3,ICR1,-1.3839672032665966,0.2706874329882243,-5.371963488769867,-3.174533413271094
4,LSR1,-5.435686077450134,0.05887190917233614,1.3091911831545908,28.624738302079123
5,NME1,-6.180275143906904,-0.03695642097454614,-5.752082741901664,-3.1089609938800784
6,PWR1,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
7,Q0010,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
8,Q0017,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
9,Q0032,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
10,Q0045,-6.672748644748336,-0.6666305450496073,-6.679935122174166,-5.337790513719814
11,Q0050,-6.409358463989572,-0.08166804370494811,-6.365680623933216,-3.2870566620397597
12,Q0055,-6.387136484642742,0.22418785519487489,-6.448270131660279,-3.065807537676387
13,Q0060,-7.049682046109526,-0.8890229230840715,-6.679935122174166,-6.473781590208601
14,Q0065,-6.522848685429065,1.6959396828832858,-6.679935122174166,-6.757779315635981
15,Q0070,-7.301564326241902,1.1109771268758504,-6.679935122174166,-6.757779315635981
16,Q0075,-7.129567196757379,-0.3040604043780193,-6.679935122174166,-5.905786086920065
17,Q0080,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
18,Q0085,-6.773159391325451,0.7890490732846391,-6.296315596775921,-6.189783847303298
19,Q0092,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
20,Q0105,-6.861744037476661,-0.47398543513218205,-6.679935122174166,-6.189783847303298
21,Q0110,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
22,Q0115,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
23,Q0120,-6.983509460408918,1.695939645581903,-6.679935122174166,-6.757779315635981
24,Q0130,-6.416591369512924,-0.37444985285427224,-6.296315596775921,-5.304646958430716
25,Q0140,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
26,Q0142,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
27,Q0143,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
28,Q0144,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
29,Q0160,-6.590581254049991,0.47354727752591735,-5.753275067058959,-5.905786086920065
30,Q0182,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
31,Q0250,-6.594954059326727,-0.6259885745423952,-6.296315596775921,-5.621788309058913
32,Q0255,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
33,Q0275,-6.526215581968637,-0.5995163771713382,-6.227517382026186,-5.337790513719814
34,Q0297,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
35,RDN18-1,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
36,RDN18-2,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
37,RDN25-1,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
38,RDN25-2,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
39,RDN37-1,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
40,RDN37-2,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
41,RDN5-1,20.94886380372872,-0.9473460663265604,-4.8110609881931,3.882188522499209
42,RDN5-2,-6.544410394368859,-0.05129434867933024,-5.753275067058959,-5.905372286687665
43,RDN5-3,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
44,RDN5-4,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
45,RDN5-5,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
46,RDN5-6,24.41878673865157,-1.5759525077718386,-4.46743464260866,6.933103209304107
47,RDN58-1,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
48,RDN58-2,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
49,RNA170,-6.162836906031144,0.17398714414792,-5.224801077746267,-5.910354528798288
50,RPM1,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
51,RPR1,-4.332039992473422,-0.23715307249331047,-4.780665574174329,-5.533892548814863
52,RUF20,14.133502830735228,0.6038529700838541,-4.303645207873858,7.101548460025341
53,RUF21,27.93619334070575,1.4173446494962327,-3.0894699987164023,1.7240661123631555
54,RUF22,-7.209390735731548,-0.4739854071519202,-6.448270131660279,-6.757779315635981
55,RUF23,-5.583592332395146,-0.5588746651446281,-5.904250565696081,-4.20695918064837
56,RUF5-1,92.80338576515074,0.7974822721039736,-1.5381050139652204,18.262423835639794
57,RUF5-2,68.92634523101117,0.8563908509584284,-4.442232734967316,11.59405148014233
58,SCR1,233.9835393594727,-1.1510376367442379,1.279369305121449,131.71216342956123
59,SRG1,30.13826669235776,0.5322264089039815,0.8492667969282223,19.987826482179933
60,TLC1,100.53783187453146,0.39852315560670887,-0.007828214509134604,38.006728252034584
61,YAL001C,14.065693397733783,0.2925316415472509,-4.772357912702923,14.037950499474467
62,YAL002W,17.216934383735246,0.3080882027414937,-3.912643254214389,21.655364916489052
63,YAL003W,-0.8809749854729705,-0.027896264191457392,19.848939810365057,97.13263303698878
64,YAL004W,-7.619619189263829,0.11097710889095458,-6.679935122174166,-6.757779315635981
65,YAL005C,75.54536444768809,-0.10926079696281318,-4.3441816894278835,12.120383069409138
66,YAL007C,5.750388006970114,0.1548646925888053,-4.917373430507055,11.023367066897789
67,YAL008W,-1.7580247262535031,0.14243836470089152,-3.8384815340166267,0.7874729135041808
68,YAL009W,2.5983789325166082,0.2335236398886955,-4.669064719133129,-0.5676140397129461
69,YAL010C,5.878775368862639,0.27764623388639664,-3.522869253234199,4.790470201779306
70,YAL011W,3.8955594923173344,0.2277480270377019,-5.091469044507593,-0.9248352512454778
71,YAL012W,30.312095836200395,-0.1178229546697786,1.8259580430278441,35.547314697619534
72,YAL013W,0.585116901908622,-0.10488533232518547,-4.884233262552208,8.995875894849874
73,YAL014C,-1.8939778318793639,-0.08342270075343002,-4.911857091828737,0.43108159317306044
74,YAL015C,-5.524264754730983,0.01764439842194525,-4.46657426876109,-4.864599655117555
75,YAL016C-A,-4.330715045070841,-0.3784088550902084,-5.421603994196242,-3.8472178994809014
76,YAL016C-B,-5.26878961009956,0.21633099675595333,-5.660436978607196,-1.3930051208473435
77,YAL016W,9.254918721293306,0.13627649504003894,-4.46938214563092,34.92615450993729
78,YAL017W,7.303777526832249,0.15207954937059612,-4.619956222127703,40.567580826937494
79,YAL018C,-6.697337377894013,-0.014553778536154308,-5.815030521963483,-6.348147535414912
80,YAL019W,17.764765551048704,0.25187592946367043,-4.651100070677069,-4.938767587947715
81,YAL019W-A,-6.82301949060573,0.43290524906923467,-6.216605125636452,-6.313387653331446
82,YAL020C,7.3807003738410515,-0.25281902314546345,-4.993657036471136,6.882718825277562
83,YAL021C,-5.1657048503466925,-0.01729294369952141,-4.854653580110177,-3.4819774091070523
84,YAL022C,7.255317337431951,-0.1581028960400359,-2.6047638036755507,3.190035678405023
85,YAL023C,-4.924492563628936,-0.009826706597408115,0.7703569235765657,-4.668469723679761
86,YAL024C,2.4773020787097675,0.2660798689952422,-5.152655901974489,0.47116862960209954
87,YAL025C,7.192701975746202,0.1600086577610598,-4.194880005346496,15.037149536786426
