genes,logFC,logCPM,F,PValue,FDR
YIL121W,-2.86360069851958,6.69237263024045,7775.90768491332,3.54062959524828e-50,2.15553529758715e-46
YML123C,-4.73439457478023,9.22368661711734,6220.32745421787,4.14518946153769e-48,1.26179567209207e-44
YGR234W,-4.12340274846332,8.43733056178859,5008.84493635651,4.19488509116357e-46,6.80214104433774e-43
YDR033W,-3.7028153357442,8.88688888907317,4993.89713262032,4.46921224989339e-46,6.80214104433774e-43
YOR290C,-7.36765442465701,6.54184583905168,4961.71235187582,7.51010103360414e-46,9.1442990185164e-43
YHR215W,-4.3544018740092,7.21936057405958,4557.64832538818,3.13690904798e-45,3.18291704735037e-42
YAR071W,-4.16154395792481,7.57426851511614,4039.95316619771,4.06994897272423e-44,3.53969276370644e-41
YER081W,3.1744376606562,9.08978488437077,3660.75011370964,3.29725937361104e-43,2.509214383318e-40
YOR153W,-2.66428598595914,9.70654142087149,3141.43568370246,8.46170553469606e-42,5.212659673648e-39
YPL257W-B,-2.50454669754823,7.35568659193367,3139.69857530838,8.56218737458607e-42,5.212659673648e-39
YDR261C-D,-2.60706467119533,7.54021419985961,3101.42730286867,1.1102987506094e-41,6.14499890337273e-39
YAR009C,-2.50559731665535,7.20730738543774,2932.29109530343,3.64135572340919e-41,1.8473811370096e-38
YJR027W,-2.41653015259366,7.82867456396925,2912.82146435066,4.192606771358e-41,1.96343000184827e-38
YLR157C-B,-2.46959737472107,7.87276900762853,2829.66781844773,7.73929183134737e-41,3.36548633351734e-38
YOL103W-B,-2.5106931264245,7.78683160498429,2819.77438906181,8.33470272806063e-41,3.38277801389554e-38
YGR038C-B,-2.2741165858964,7.58092713361825,2797.13166871236,9.88493591642744e-41,3.76121811620064e-38
YML039W,-2.49312527208961,7.59643118071784,2737.25307159631,1.56233961306371e-40,5.59501386137169e-38
YML045W,-2.36615137818626,7.61800095301018,2651.66044062489,3.05847197060364e-40,1.00209956949856e-37
YPR158C-D,-2.46308971155441,7.77958307677848,2648.86379128705,3.12744609403297e-40,1.00209956949856e-37
YDR365W-B,-2.35072032234508,7.44752512346149,2597.16616237384,4.74370668061735e-40,1.44398431357992e-37
YER138C,-2.45710122537729,7.55219174700556,2561.52702871213,6.35206494846309e-40,1.84149387648778e-37
YPR137C-B,-2.30082841716539,7.36963725589241,2550.37523219056,6.96546540678278e-40,1.92753424529516e-37
YJR029W,-2.34883234524836,7.68846662326595,2493.81579448353,1.11858259655834e-39,2.96083949906398e-37
YLR227W-B,-2.372085589682,7.45744159220534,2479.25850388489,1.26581015139615e-39,3.18342917274745e-37
YBR012W-B,-2.06779466686054,7.11504787706625,2475.47996066299,1.30725573782336e-39,3.18342917274745e-37
YBL005W-B,-2.2332926060768,7.40016089477194,2421.9659484268,2.0736603165381e-39,4.85555538733999e-37
YNL284C-B,-2.18685307075575,7.9502529467009,2398.35451584044,2.54990869059225e-39,5.74957189197244e-37
YHR214C-B,-2.22310397241237,7.538578978776,2336.58635272905,4.42210098268911e-39,9.43010703557649e-37
YPL019C,-2.51248470737337,7.92583161542393,2334.84876452528,4.4920023658298e-39,9.43010703557649e-37
YGR161C-D,-2.11306711556396,7.50494672008792,2306.81360152538,5.7956182915467e-39,1.17612413863121e-36
YDR316W-B,-2.30843502851684,7.43491050375377,2273.76958436419,7.85673571704523e-39,1.54296151759262e-36
YJL012C,-1.41808092981538,8.17397081508834,2261.17983350212,8.83204852187608e-39,1.68029723128692e-36
YMR045C,-2.30489772332101,7.49608495449882,2236.51103633779,1.11303694460407e-38,2.0533845208332e-36
YGR027W-B,-2.40758809218892,7.75228886212694,2206.41019406052,1.4809197444043e-38,2.65171747174511e-36
YPR158W-B,-2.3648600277878,7.44061861742174,2199.56565739444,1.58115209658067e-38,2.7503011325666e-36
YDR406W,-2.03601751721172,7.45269572551174,2154.048032509,2.45637217446435e-38,4.15399827726083e-36
YER160C,-2.25308117572964,7.34083807104942,2096.83460058426,4.33009908837322e-38,7.08676590707451e-36
YOR142W-B,-2.18459885343021,7.24713713043567,2094.71254640287,4.42340841768777e-38,7.08676590707451e-36
YDR210C-D,-2.09987006687484,7.38156861287109,2008.52707274477,1.07084002084607e-37,1.67160872997715e-35
YDR098C-B,-2.14909857312439,7.33753759398344,1932.99817639272,2.39736252191875e-37,3.64878575836034e-35
YCL064C,-1.38906623994915,8.48903794205975,1916.9571646271,2.85607874836678e-37,4.24092863903829e-35
YER011W,-3.9892690481472,7.39339922870422,1880.5082064548,4.2808003095943e-37,6.20512197257383e-35
YMR050C,-2.31905767308985,7.79255026430117,1848.82461001753,6.1083409357725e-37,8.64827432953092e-35
YPL095C,-2.02620594571764,6.25276315150253,1644.93556175532,7.084815012491e-36,9.80280768091937e-34
YDR011W,-1.29282963555431,7.72957508231163,1621.0221892878,9.6202171976489e-36,1.3015084955397e-33
YER001W,-2.35067940305627,6.2691944313212,1608.2020823934,1.13715059267767e-35,1.50499408874384e-33
YHR136C,-4.78594912887445,5.87409764897036,1603.25441905639,1.22916209383524e-35,1.59215719729126e-33
YLR035C-A,-2.07670604978068,6.79633457895359,1590.40188715767,1.43397346879276e-35,1.81875634958548e-33
YOR306C,-1.33296799692738,6.72698843932842,1579.63428251114,1.65289347019221e-35,2.05363580541432e-33
YNL054W-B,-2.0056756874735,7.20355573112198,1547.65727360306,2.53503838623413e-35,3.08666273907868e-33
YER124C,-1.79194186070355,6.47562655235422,1517.95991295748,3.80109609796708e-35,4.53746530282816e-33
YPL025C,3.74197875564269,3.95208519061251,1485.39483160239,6.72834007366775e-35,7.87733353240178e-33
YGL028C,-1.65194871574652,6.54099587802332,1457.45587559986,8.88807019078926e-35,1.02095417587783e-32
YFL002W-A,-1.42412349705142,6.31633172115307,1430.48266049576,1.31252564465608e-34,1.47975113419744e-32
YIL169C,-2.91438605489793,7.7362771684684,1390.17590488626,2.38199918570177e-34,2.63665655319134e-32
YPR149W,-2.16387971865733,8.44011940502876,1355.15433991713,4.05334299659029e-34,4.40656288629315e-32
YLR410W-B,-1.4099369364315,6.42889788057823,1344.32515878946,4.79087697326461e-34,5.11699280933946e-32
YFR015C,-3.13469401921543,9.39690367219058,1338.07406816635,5.27873413720867e-34,5.54085059091834e-32
YKL109W,-2.10774939921828,7.57283863391452,1306.76200056595,8.64131482360057e-34,8.91666519425089e-32
YGR161W-B,-1.37686329581439,6.41424596432333,1271.66997859304,1.52218408674813e-33,1.54450945335377e-31
