genes,logFC,logCPM,F,PValue,FDR
YIL121W,-2.86126813501118,6.73301867534245,6569.96842656642,2.1229174643865e-48,1.2951919450222e-44
YML123C,-4.69500489162062,9.18612605712751,5559.65519785678,7.31296524384964e-47,1.71225628352579e-43
YDR033W,-3.77837429150284,8.96438650713874,5522.79437858679,8.41955228745678e-47,1.71225628352579e-43
YGR234W,-4.2657812241533,8.52010043050089,4391.35986371215,1.07977042994365e-44,1.49311247936161e-41
YHR215W,-4.4968669085104,7.26619961757809,4365.99475121507,1.22366208765908e-44,1.49311247936161e-41
YOR290C,-7.48483649523493,6.58065809141294,4389.37160098503,1.60521321004911e-44,1.63223429908494e-41
YAR071W,-4.26094051171109,7.6153506837639,4151.78031139828,3.54107270002339e-44,3.08629779183467e-41
YDR365W-B,-2.35749083270203,7.47211384775385,3438.694070602,1.89131896278727e-42,1.44236712399564e-39
YER081W,3.16504469924649,9.10692593565151,3211.23993027438,8.00717082608834e-42,5.42797213444055e-39
YPL257W-B,-2.47662860789235,7.36533113890106,3151.01511570192,1.19341344928045e-41,7.18205552780169e-39
YER138C,-2.46183515804306,7.5730129807807,3134.80557351706,1.3303979946655e-41,7.18205552780169e-39
YJR027W,-2.38961463100327,7.83342045992313,3125.89248643639,1.41263180353418e-41,7.18205552780169e-39
YOL103W-B,-2.50442323128236,7.79717065727048,3059.59169493065,2.219142237164e-41,9.71863550325685e-39
YPR158C-D,-2.39732446505288,7.79203119559196,3056.40433632061,2.2683937303963e-41,9.71863550325685e-39
YDR261C-D,-2.5852984189207,7.55503011542122,3048.87446757072,2.38943669150718e-41,9.71863550325685e-39
YML039W,-2.46220930274635,7.60509761859368,3027.10081644323,2.77876233113769e-41,1.05957681139194e-38
YDR098C-B,-2.12455602928987,7.36426530196917,2988.47854732305,3.64163537067072e-41,1.30691867038012e-38
YGR038C-B,-2.25238228317779,7.58666116782884,2933.33832085098,5.38999133751705e-41,1.82690761945508e-38
YDR406W,-2.02300441233795,7.44817042032784,2902.51649946322,6.73221584036346e-41,2.16174993905566e-38
YPR137C-B,-2.26165453080869,7.37327380947565,2835.79053194274,1.09835128729826e-40,3.35052060190333e-38
YOR153W,-2.76974987457804,9.82083971297109,2741.77956001241,2.23221990238758e-40,6.48513029736506e-38
YML045W,-2.33018697343746,7.64086015450836,2693.82761402986,3.23515522294249e-40,8.97167364326006e-38
YLR157C-B,-2.43297212025079,7.87898722967293,2658.88758244925,4.25692004867439e-40,1.12919431378098e-37
YMR045C,-2.24483945817152,7.50049266276196,2636.75171976273,5.07483738151352e-40,1.28646734651179e-37
YDR316W-B,-2.30239195864788,7.45385275212694,2631.98630449803,5.27154297046302e-40,1.28646734651179e-37
YLR227W-B,-2.35886084785569,7.45438507678702,2616.43864014964,5.97062282505381e-40,1.37070642736072e-37
YJR029W,-2.307186691022,7.68379503997632,2614.46285663035,6.0660667986788e-40,1.37070642736072e-37
YAR009C,-2.43353215590307,7.2186082573553,2561.72741327007,9.3086154275687e-40,2.02828081155702e-37
YJL012C,-1.3877400849879,8.1730763400962,2538.03049630381,1.13147112142832e-39,2.3803811420118e-37
YPR158W-B,-2.3261039151676,7.45607895998977,2505.19889994084,1.48742678014473e-39,3.02493026188767e-37
YNL284C-B,-2.11321525778883,7.94213873742451,2435.03087243137,2.70073263587078e-39,5.31521606820892e-37
YGR027W-B,-2.36478351945227,7.74509742203631,2364.37567806002,5.01038448953984e-39,9.5526111783383e-37
YHR214C-B,-2.17876649954143,7.55913796812589,2360.60477328289,5.18103442342475e-39,9.57863364161042e-37
YMR050C,-2.30306795665363,7.80826830443897,2311.13393044748,8.07916006935891e-39,1.44973398773996e-36
YDR210C-D,-2.08961138829628,7.39240362220813,2286.25746456938,1.01376444638607e-38,1.76713625354325e-36
YBL005W-B,-2.16937432507737,7.39507608906478,2259.09577528075,1.30247162373445e-38,2.20732760455663e-36
YGR161C-D,-2.06157475424071,7.51046330278541,2234.09494463923,1.64466193303577e-38,2.71191417660845e-36
YCL064C,-1.36142725651851,8.50200471970089,2184.06149902229,2.64365338199614e-38,4.24445507462065e-36
YOR142W-B,-2.14641195395711,7.25483543512768,2168.6017084158,3.06803316670032e-38,4.79950521795862e-36
YBR012W-B,-2.02148731537478,7.12271417184531,2139.87579535878,4.05664126390282e-38,6.18739208776778e-36
YER160C,-2.20379413924164,7.35614822759537,2098.24294568231,6.12121695835141e-38,9.10866942997609e-36
YPL019C,-2.46044190189007,7.95064281747715,2095.75867877073,6.27479777439204e-38,9.11489076703948e-36
YPL095C,-2.0005691636585,6.26056680167197,1899.90846240111,4.88608843659269e-37,6.93256408177953e-35
YPL025C,3.76582729399705,3.94574889582118,1868.44872925452,7.66123860979899e-37,1.06230038087236e-34
YOR273C,-2.24710215329106,7.98452178534428,1827.02891253222,1.10536609884072e-36,1.49863079311717e-34
YNL054W-B,-1.9727456069597,7.20922921272865,1822.82276081725,1.15987881265211e-36,1.53835231217185e-34
YLR035C-A,-2.07513625845433,6.80575727661978,1808.16036891513,1.37290836539952e-36,1.78215190155371e-34
YKL109W,-2.12691695845389,7.65450097703684,1723.06809284021,3.75221195959222e-36,4.76921774280669e-34
YGL028C,-1.68322630378203,6.59604263340406,1709.97369843229,4.39917958079446e-36,5.4774274739647e-34
YDR399W,-1.85529614466837,7.61657543028342,1658.45697054858,8.32060565226412e-36,1.01528030168927e-33
YFR055W,-2.0284010184035,6.87378669888638,1602.74323522056,1.69488997153786e-35,2.02755366987303e-33
YER001W,-2.36405832393388,6.33119441365249,1588.62301372782,2.0393085428872e-35,2.35131254029984e-33
YER011W,-4.26352211788631,7.61236327807045,1588.52951908491,2.04262963387638e-35,2.35131254029984e-33
YHL047C,-1.86990145419352,7.61615117884473,1587.00333590426,2.08114861786906e-35,2.35131254029984e-33
YER124C,-1.78565522056511,6.48546775510153,1573.4879656395,2.48661172697466e-35,2.75833057204953e-33
YOR306C,-1.31955370955443,6.75757868720634,1490.80906772995,7.63542056967378e-35,8.31851801706781e-33
YOR192C-B,-1.33653421921233,6.48494554214044,1455.2187074303,1.26105601199494e-34,1.34977240862827e-32
YLR410W-B,-1.34660004376371,6.44268601579603,1343.1679065719,6.64065396442933e-34,6.98528100637644e-32
YKL062W,-2.16206129178055,7.05837763676049,1294.65696828901,1.4218649698865e-33,1.47030477648772e-31
YDR281C,-3.75521771292391,3.24244667556012,1283.18427385292,1.97801860053557e-33,2.01131524697792e-31
YDR011W,-1.30125748184729,7.77245671994841,1259.52476430147,2.51119399535538e-33,2.51160566650216e-31
YFL002W-A,-1.35847886767384,6.32017564100813,1224.98173635396,4.460708955854e-33,4.38948150639762e-31
YIL169C,-2.94256213063124,7.75825904153731,1211.19070206611,5.63514811882855e-33,5.45714899571e-31
YHR136C,-4.62555414051923,5.68594202787747,1198.75798230737,7.06286168284438e-33,6.73289361359899e-31
YML122C,3.04718972922553,3.01615723226318,1193.24098707423,8.93953295354661e-33,8.39078316147506e-31
YDR034C-D,-1.34380288290175,6.40240965072131,1153.79531842078,1.53373251347508e-32,1.4177730401078e-30
YDR077W,-3.47205927140769,11.57312719635,1122.25366571162,2.71431766135378e-32,2.47164955998797e-30
YGR161W-B,-1.33458404354125,6.42224565255689,1106.68008038804,3.61908976008938e-32,3.24706862151549e-30
YPL057C,-1.17322457204469,7.25306105430564,1094.5183761818,4.54261442914235e-32,4.01659284524601e-30
YCL019W,-1.37724079562498,6.14395357182051,1091.75421537434,4.78571229563989e-32,4.17109010224271e-30
YPR149W,-2.14814002369402,8.42854155608742,1081.71478499089,5.78613095229213e-32,4.97199787886398e-30
YLR111W,3.13869662898915,3.08196164684797,1082.51741598662,6.63351969502112e-32,5.62098661935053e-30
YDR210W-B,-1.22630767123444,6.238969638541,1050.61049982923,1.05386447739e-31,8.80770846103611e-30
YOR343W-B,-1.28497037858042,6.19598054178399,1048.9942479349,1.0877258100698e-31,8.96785833410254e-30
YER037W,-1.83732934077361,5.5703413801536,1034.96389828877,1.43547759946406e-31,1.16771317791069e-29
YFR015C,-3.08164591985953,9.31640068232075,1031.08181236558,1.54895592159178e-31,1.24344474705677e-29
YCR025C,2.54445451574456,3.40480779935307,1005.90389639337,2.66315792320974e-31,2.11012032331203e-29
YHR092C,-2.46026248804574,9.93263073080565,967.467572478564,5.71333929023448e-31,4.46885679611802e-29
YBR092C,-2.74604637436636,7.25251401696537,961.575896322832,6.47470974319487e-31,5.00027900547239e-29
YGR035C,-3.70915777970295,5.53974647855387,953.979971995873,7.65294820217469e-31,5.83632962268347e-29
YBL100W-B,-1.20493296911606,5.7174608393301,934.563639015395,1.16000690597204e-30,8.73728658436475e-29
YBR070C,1.56041449264233,5.59955021843135,927.428027372819,1.35768928807709e-30,1.01015394470224e-28
YMR056C,2.01444621777848,5.83396512343851,925.438809743616,1.41868339006857e-30,1.03247961922525e-28
YOR376W,3.5093200557996,2.64273485341598,949.684537920045,1.42154217365877e-30,1.03247961922525e-28
YDR261W-B,-1.2423275033308,6.0735545913597,913.943789698936,1.8292504978419e-30,1.31122974517383e-28
YGR233C,-1.37065706839387,6.29319169568898,913.479004189022,1.84831598237911e-30,1.31122974517383e-28
YHR216W,-1.30488263160505,8.08337185101182,905.66830606983,2.20234201671804e-30,1.5444239820686e-28
YIL094C,-1.1207534725209,7.91140511942172,899.948647960053,2.50634053360174e-30,1.73763449948911e-28
