,locus_name,BF_21,FC
0,15S_rRNA,-6.417741627464629,0.010612341283110789
1,21S_rRNA,-5.552407875946523,0.06891819503673617
2,HRA1,-5.50386246698745,-0.7380078690852808
3,ICR1,41.81495587767827,0.5536230175244555
4,LSR1,-5.796747394725293,0.020399852548139214
5,NME1,-0.7311647068289809,0.44022129351583267
6,PWR1,,
7,Q0010,,
8,Q0017,,
9,Q0032,,
10,Q0045,-4.392407053779927,1.2048303895833172
11,Q0050,-6.360925842418559,0.1468802712745148
12,Q0055,-5.692977053979976,0.38609297269007625
13,Q0060,-7.290670733711514,0.3821347045613765
14,Q0065,-7.32348915192589,-0.36632655240973205
15,Q0070,,
16,Q0075,-7.116860293293633,-1.1032921621682232
17,Q0080,,
18,Q0085,-6.7099840574944265,0.8142457616614387
19,Q0092,,
20,Q0105,-6.192869349735551,1.1191003743744317
21,Q0110,-7.539183178678115,0.4816703720520831
22,Q0115,,
23,Q0120,-6.2786610067786555,1.7711770432414211
24,Q0130,-5.179943102368892,0.6287749293550501
25,Q0140,,
26,Q0142,,
27,Q0143,,
28,Q0144,,
29,Q0160,-6.986812353725515,-0.10329215035269876
30,Q0182,,
31,Q0250,-6.396173368427414,0.5747798722807387
32,Q0255,-6.807394748138404,2.2186359901853616
33,Q0275,-6.953008340066497,-0.05748845583665668
34,Q0297,,
35,RDN18-1,,
36,RDN18-2,,
37,RDN25-1,,
38,RDN25-2,,
39,RDN37-1,,
40,RDN37-2,,
41,RDN5-1,-0.6748306271284434,0.23954607918001983
42,RDN5-2,-6.541566881549694,0.18775674563739106
43,RDN5-3,,
44,RDN5-4,,
45,RDN5-5,,
46,RDN5-6,-2.0238267155433345,0.29507336261597644
47,RDN58-1,,
48,RDN58-2,,
49,RNA170,3.0680693697836623,0.7382799010652076
50,RPM1,,
51,RPR1,26.6247532363953,-0.7958796556534301
52,RUF20,24.709970230512504,0.457051242296654
53,RUF21,9.232048364737162,0.5966420133915511
54,RUF22,-7.2875874909235145,-0.8402577479596416
55,RUF23,-2.4648596967275296,0.6924754573895368
56,RUF5-1,-4.9416172706563835,0.048960174842872135
57,RUF5-2,-5.648098774795711,0.031432114737117565
58,SCR1,-5.3704009405355535,0.02549852895661697
59,SRG1,183.48207879312204,-0.9649837953534309
60,TLC1,350.99002552283156,0.4597328724376594
61,YAL001C,268.38117232722317,0.6648297996525565
62,YAL002W,6.171882705889245,0.14788637590963255
63,YAL003W,3404.9493025029824,-0.6180813661311426
64,YAL004W,,
65,YAL005C,2612.658153882747,-0.4622503379887531
66,YAL007C,362.0188736199469,0.5515319057783737
