,locus_name,BF_21,FC
0,15S_rRNA,-5.966098138303048,-0.29640497696983253
1,21S_rRNA,2.5127957794899527,-0.4771822509307026
2,HRA1,-5.975828155234208,-0.6658943709060227
3,ICR1,17.2985719974703,0.511620082832355
4,LSR1,5.074438381203058,0.3347723950979998
5,NME1,-2.755627492385918,0.5020717296999146
6,PWR1,,
7,Q0010,,
8,Q0017,,
9,Q0032,,
10,Q0045,-4.946916006010646,1.6592014322501294
11,Q0050,-5.082165793644383,-0.6748001297601272
12,Q0055,-6.568091986615499,0.1811539898519703
13,Q0060,-7.262815552048037,-0.7033688865721069
14,Q0065,-6.75005041907802,-2.1184064141304435
15,Q0070,,
16,Q0075,-7.388485431740498,-1.1184063846911096
17,Q0080,,
18,Q0085,-7.218547032988477,0.2966311405475448
19,Q0092,,
20,Q0105,-7.1133353099084955,0.144628044782813
21,Q0110,-7.388485431740498,-1.1184063846911096
22,Q0115,,
23,Q0120,-6.953160898898065,1.2035217644355563
24,Q0130,-5.259651894613162,0.9487081145663511
25,Q0140,,
26,Q0142,,
27,Q0143,,
28,Q0144,,
29,Q0160,-6.072886626319216,-1.3407989148644393
30,Q0182,,
31,Q0250,-6.483720690546614,-0.7964783738406604
32,Q0255,,
33,Q0275,-6.289915361239408,-1.1184064799681652
34,Q0297,,
35,RDN18-1,,
36,RDN18-2,,
37,RDN25-1,,
38,RDN25-2,,
39,RDN37-1,,
40,RDN37-2,,
41,RDN5-1,-0.5567728020350324,0.4044584351375114
42,RDN5-2,-6.232653253906747,0.43798715723547066
43,RDN5-3,,
44,RDN5-4,,
45,RDN5-5,,
46,RDN5-6,-3.4406840088963144,0.43164345157034867
47,RDN58-1,,
48,RDN58-2,,
49,RNA170,4.885051045591936,1.0641870679030052
50,RPM1,,
51,RPR1,9.417080852125578,-0.7734720953983085
52,RUF20,8.753570055400365,0.4137425090453853
53,RUF21,10.290993317089388,0.7905775285420544
54,RUF22,-6.846229288638464,-1.440334510177647
55,RUF23,-2.1667258838768575,0.9240297825479351
56,RUF5-1,-5.645493818031556,-0.0029018221755151724
57,RUF5-2,-5.500258832516501,-0.041031214219493455
58,SCR1,-4.249276856835738,-0.1021073002478161
59,SRG1,92.0847939766795,-0.9064840666280828
60,TLC1,138.11427003570338,0.38563508749302833
61,YAL001C,123.83307377726965,0.6087824422175568
62,YAL002W,-1.4493162267509956,0.11556383594033404
63,YAL003W,2395.990512309974,-0.6795448285270019
64,YAL004W,,
65,YAL005C,2203.6422504909347,-0.5697117938295972
66,YAL007C,140.84996419349895,0.4620551626504454
67,YAL008W,56.72237574862783,0.4656220905915259
68,YAL009W,58.21292863354701,0.5286414139928189
69,YAL010C,21.709392414039293,0.35537594632501884
70,YAL011W,96.34094511126277,0.6100377372928399
71,YAL012W,861.093105043109,0.4922805375390011
72,YAL013W,357.47113144481744,0.6737399721280937
73,YAL014C,241.60686342656828,0.5810585858835047
74,YAL015C,214.29610655785362,0.8376867445230454
75,YAL016C-A,-6.156553035449101,-0.0688245360778609
76,YAL016C-B,18.7800091904169,0.884942445809363
77,YAL016W,70.22359216243467,0.2671994199512355
78,YAL017W,117.56693466935172,0.4101525406286933
79,YAL018C,-6.388998338883646,-0.4121377108610941
80,YAL019W,25.071373139025635,-0.27573677134720076
81,YAL019W-A,-6.860185651827084,0.5336703738885105
82,YAL020C,60.07444670367737,0.4728413829776425
83,YAL021C,-5.363074590237257,0.005636279070143636
84,YAL022C,117.70662260248706,0.4218410235155837
85,YAL023C,74.69394637147651,0.1849456158165375
86,YAL024C,36.334722326711606,0.4931615646608463
87,YAL025C,321.26574432061443,-0.8677069112067815
88,YAL026C,62.02918646191064,0.3472992913198193
89,YAL026C-A,2.6217545831743934,0.7709766421569558
90,YAL027W,6.701678497809696,0.28423143442418985
91,YAL028W,95.96190443583005,0.5845160527962936
92,YAL029C,35.68871727846754,0.22899414884300023
93,YAL030W,150.46713819647027,0.582244005483856
94,YAL031C,100.97166506847923,0.5654679074888561
95,YAL031W-A,5.119289875954194,1.3271547634356584
96,YAL032C,138.8301082819523,0.6078023724446169
97,YAL033W,-4.304372137636269,0.09409240783874248
98,YAL034C,60.64579237398269,0.4216445306419014
99,YAL034C-B,-5.675106537440659,0.162730423399663
100,YAL034W-A,38.35443089532657,0.7226042449160628
101,YAL035W,10.40573318230719,-0.075656183776527
102,YAL036C,46.66690539659457,-0.39595893152750805
103,YAL037C-A,-0.7537785852109934,0.5503895892147493
104,YAL037C-B,-5.757974666565855,-0.00629615478938438
105,YAL037W,14.15994752179724,0.6916456905543835
106,YAL038W,9249.548975164225,-0.8922119829535878
107,YAL039C,155.19644993768995,0.35909195165274277
108,YAL040C,1.8585079461900347,0.11907063105497545
109,YAL041W,22.5257613033187,0.2538690258959863
110,YAL042C-A,-7.182903162901954,-0.5334438862896355
111,YAL042W,391.84223988917955,0.41486304147198244
112,YAL043C,45.83031138608989,0.3015056079526612
113,YAL044C,548.3142630582804,-0.902174112707448
114,YAL044W-A,8.687371765067267,0.6584824841895112
115,YAL045C,-5.768174906097112,0.6674690769565939
116,YAL046C,19.735997984506884,0.3661631080337453
117,YAL047C,21.695117441492453,0.45369858566931215
118,YAL047W-A,-6.964577649506672,0.01909715689974902
119,YAL048C,-5.733970090421725,-0.03306357461277115
120,YAL049C,138.09557073699486,0.5499231529307528
121,YAL051W,29.737733829322348,0.32910870610447895
122,YAL053W,1240.1419381798837,0.70521310645888
123,YAL054C,250.1159798578415,1.0297345026797424
124,YAL055W,89.19117491043433,0.6040557295723116
125,YAL056C-A,-6.3231343588852535,0.3615867316315077
126,YAL056W,289.8116501629473,0.5970064922336207
127,YAL058W,-0.9417629013390759,0.16978059220845546
128,YAL059C-A,,
129,YAL059W,10.793119908102334,-0.4847277598605302
130,YAL060W,5.582090280382348,-0.1062759128752127
131,YAL061W,2404.6407489967814,-1.8447816354222566
132,YAL062W,94.20638308980101,0.557336326411234
133,YAL063C,29.31351313085119,0.3991271167358469
134,YAL063C-A,-0.635650429219045,1.3241127301644595
135,YAL064C-A,-5.570517699384423,0.143576062991107
136,YAL064W,9.076340412077643,1.7613011564972207
137,YAL064W-B,-6.16355249773943,-0.05740546951459574
138,YAL065C,-1.1766358179587073,0.45623473631760103
139,YAL066W,-7.051610424753852,0.36702047967908724
140,YAL067C,52.17163080117306,1.5366111290999032
141,YAL067W-A,-6.697583930967163,0.5596656060615877
142,YAL068C,-4.5296275886733826,0.5376398880576481
143,YAL068W-A,,
144,YAL069W,,
145,YAR002C-A,228.84399031278153,0.48316526682849326
146,YAR002W,-3.4853303668118327,0.06392273714049472
147,YAR003W,55.10069573092896,0.42934030759338887
148,YAR007C,287.2684194221505,0.7937656525276573
149,YAR008W,114.04746505916619,0.8470235349676758
150,YAR009C,2619.3243058563685,-2.1286495870639772
151,YAR010C,21.874042807690525,-0.2720571545965158
152,YAR014C,16.944585522425225,0.1902740919646286
153,YAR015W,1850.81608187728,-1.2782653788347027
154,YAR018C,66.08323455552377,0.576971056198969
155,YAR019C,48.73501937990087,0.5153234790891371
156,YAR019W-A,-5.624310833281005,0.5210042488553542
157,YAR020C,-2.0923466666032753,0.3848742965234856
158,YAR023C,-5.139208801523529,0.11530571530188982
159,YAR027W,-2.473257033755937,0.07274279158381639
160,YAR028W,-0.41545156784247944,0.15251357405896313
161,YAR029W,-6.177007506353712,-0.06612926866367623
162,YAR030C,-6.028333725262922,0.09034669370758697
163,YAR031W,-3.318067354149822,0.14160430942581195
164,YAR033W,4.163961571809276,0.24045421797310684
165,YAR035C-A,2.6307394202337404,2.3221670470461384
166,YAR035W,351.06590889289646,1.4014717661647922
167,YAR042W,110.71643069867687,0.3755089310050927
168,YAR047C,-5.82372796773161,-0.35691879425215844
169,YAR050W,-2.203837221533457,0.1385805470382531
170,YAR053W,12.463681200275621,1.5314096974850768
171,YAR060C,-4.980667754110152,0.7806651133381175
172,YAR061W,-6.571246408836234,0.21174231432475618
173,YAR062W,-5.88207496260304,0.30785872202037257
174,YAR064W,-6.204448082389,0.04665300517564525
175,YAR066W,-0.659445871347711,0.38525866107607665
176,YAR068W,133.17432903681166,1.1083427203704388
177,YAR069C,-5.378475620164977,-0.815014523951163
