genes,logFC,logCPM,F,PValue,FDR
YDR033W,-3.79699872797207,8.94542601138454,6322.68825595108,6.60694542696044e-48,3.19047540369976e-44
YIL121W,-2.83738427467512,6.72206231019136,6187.27779445984,1.04537201956087e-47,3.19047540369976e-44
YHR215W,-4.40402371670748,7.24557641030436,4811.40011498736,2.11733462172238e-45,4.3080701769978e-42
YML123C,-4.68316642100069,9.20465664630917,4699.29728482345,3.47146992990085e-45,5.2974631130287e-42
YAR071W,-4.26362183634739,7.58451482080228,4616.60396824762,5.05644860069495e-45,6.17291245172839e-42
YGR234W,-4.20240709332289,8.47477821556153,3772.41838163575,3.55069078695966e-43,3.61223609393362e-40
YPL257W-B,-2.48225920348351,7.37482076700509,3708.42845144956,5.08830132532068e-43,4.43699875567963e-40
YML039W,-2.49092198801127,7.61726378322418,3452.85379712542,2.28386910606111e-42,1.74259212792463e-39
YDR365W-B,-2.34562773306354,7.48186203962064,3354.24528485627,4.19871433612899e-42,2.8476613675257e-39
YOR290C,-7.56943409101514,6.58884608553928,3317.94737280108,7.63976554455038e-42,4.66331288839355e-39
YPR137C-B,-2.28159854237951,7.38694700323325,3240.1467290207,8.68678208061038e-42,4.82037434727688e-39
YPR158C-D,-2.42527251268946,7.80662966861515,3190.42672668575,1.20195560204534e-41,6.11394749573729e-39
YML045W,-2.32153593687206,7.64066049710017,3155.53368609485,1.51415787098458e-41,7.10955357268451e-39
YPR158W-B,-2.33324655893122,7.45853173623696,3139.79154397508,1.68181165705055e-41,7.3326988247404e-39
YGR038C-B,-2.26972355844096,7.59188785241855,3102.26117904544,2.16473467112574e-41,8.58462365086489e-39
YLR157C-B,-2.44647517046512,7.88731735556365,3096.54063161917,2.25022900415856e-41,8.58462365086489e-39
YJR027W,-2.3817006732063,7.8422686487066,3067.43017687848,2.74362998549526e-41,9.85124554791945e-39
YER138C,-2.46824402111628,7.57639556636024,2999.33962629963,4.39453159986173e-41,1.490234493642e-38
YBL005W-B,-2.16437160175946,7.40841580208086,2781.50147763859,2.13603905811685e-40,6.56376871212552e-38
YGR161C-D,-2.07786193106261,7.52238816059328,2780.59592355276,2.15064505639761e-40,6.56376871212552e-38
YER081W,3.09176534572335,9.08072327256695,2771.2837457818,2.30725947317425e-40,6.70643420202649e-38
YJR029W,-2.3059793050292,7.6921240210313,2743.24184968326,2.85537906919934e-40,7.92237901745125e-38
YMR045C,-2.275944366629,7.49747505933982,2728.18904169101,3.20434806060781e-40,8.50406111389133e-38
YDR261C-D,-2.58322256837897,7.56194728843632,2675.32158624514,4.82820683417417e-40,1.21030102644931e-37
YAR009C,-2.44256410533465,7.23396239814411,2667.40486951659,5.13751757960633e-40,1.21030102644931e-37
YLR227W-B,-2.34658221992144,7.46174441091761,2663.03526309137,5.31686312708643e-40,1.21030102644931e-37
YMR050C,-2.30746243836996,7.80991626785483,2662.15826804517,5.35355958619454e-40,1.21030102644931e-37
YNL284C-B,-2.14227675045166,7.94871406761762,2607.7735794996,8.24821558818127e-40,1.79811099822352e-37
YDR406W,-2.00044320453856,7.47005050605952,2574.32202275025,1.08082577628568e-39,2.27495190980958e-37
YOL103W-B,-2.50082725415113,7.79416178426292,2565.45018381042,1.16182886782765e-39,2.36393446973999e-37
YDR098C-B,-2.15803632014799,7.36734459493266,2558.33142100529,1.23142270458497e-39,2.42471102864085e-37
YDR316W-B,-2.28506591634259,7.45555139942019,2518.92628383806,1.70411772537795e-39,3.25060456115843e-37
YGR027W-B,-2.37700442173375,7.755844705681,2493.22294465684,2.11203567819172e-39,3.83354291871281e-37
YJL012C,-1.4338401348622,8.18702475973662,2491.91316436786,2.13532862444685e-39,3.83354291871281e-37
YPL019C,-2.47562913753595,7.99140495413811,2432.15712469852,3.54801139270481e-39,6.1877318688772e-37
YBR012W-B,-2.03876550359084,7.12306614697707,2414.86631987955,4.11906750412306e-39,6.98410779032421e-37
YHR214C-B,-2.17540490106818,7.55977833989388,2398.33717877098,4.75514636760212e-39,7.84470633184956e-37
YOR153W,-2.76281055536052,9.80303109116329,2373.3267065879,5.92020982704833e-39,9.509726522185e-37
YDR210C-D,-2.12697134248496,7.39459887894692,2368.86426564434,6.15802526720939e-39,9.63809903360157e-37
YOR142W-B,-2.13334996946338,7.25160870724236,2306.09841032261,1.07942643636912e-38,1.64720474189928e-36
YCL064C,-1.34273674757247,8.51041797730913,2281.6804829918,1.34822807891094e-38,2.00721565699327e-36
YER160C,-2.24089915454889,7.35399822635404,2210.25025855588,2.61988612986291e-38,3.80756784206743e-36
YPL095C,-2.02098722007597,6.28483599420256,2085.02372224724,8.85211743290703e-38,1.22962762000003e-35
YNL054W-B,-1.98500119817792,7.21425507237425,2084.85448210323,8.86363290956773e-38,1.22962762000003e-35
YGL028C,-1.71510572063845,6.60382149737147,2017.53126950229,1.75730686228268e-37,2.38368913052745e-35
