,locus_name,BF_21,FC,BF_k1_1,BF_k1_2
0,15S_rRNA,-5.965050893883997,0.05507902555191525,-3.3130111256154384,5.0416414744023506
1,21S_rRNA,-5.427943480781224,0.09157051686412111,5.889391592760916,53.5976731673652
2,HRA1,-6.25044560508946,-0.4589478784974796,-6.215147937848937,-6.011318711488016
3,ICR1,-5.030488485265237,-0.16691479405583307,-5.3087296401145,-5.198078476536104
4,LSR1,-2.7078709871484774,0.25209502276115703,-0.020523534668094024,50.568612683429976
5,NME1,-5.763716200225589,-0.1687925158674054,-3.4993241400847954,-3.78315219229053
6,PWR1,,,-6.676589557645663,-6.550506437397755
7,Q0010,,,-6.676589557645663,-6.550506437397755
8,Q0017,,,-6.676589557645663,-6.550506437397755
9,Q0032,,,-6.676589557645663,-6.550506437397755
10,Q0045,-6.3138952180239745,-0.7585081465950829,-6.096335935754115,-5.467225224235739
11,Q0050,-5.306049406242548,0.7623249954419795,-3.586112423047827,0.9660852693241073
12,Q0055,-5.826799805934889,0.5634205992781024,-5.743028778788921,0.6713749286600648
13,Q0060,-6.848613145246073,-0.7585080220795631,-6.45607391614433,-6.550506437397755
14,Q0065,-6.775916798117669,1.2414920886746574,-6.676589557645663,-6.550506437397755
15,Q0070,,,-6.676589557645663,-6.550506437397755
16,Q0075,-6.316210873282484,-1.7585081235858242,-6.015042589648474,-6.550506437397755
17,Q0080,,,-6.676589557645663,-6.550506437397755
18,Q0085,-6.638415967942507,-0.17354550286248027,-6.312732183613446,-6.242169851901209
19,Q0092,,,-6.676589557645663,-6.550506437397755
20,Q0105,-6.600548496258746,0.24149205641746124,-6.312732183613446,-5.467225224235739
21,Q0110,-6.775916798117669,1.2414920886746574,-6.676589557645663,-6.550506437397755
22,Q0115,,,-6.676589557645663,-6.550506437397755
23,Q0120,,,-6.676589557645663,-6.550506437397755
24,Q0130,-6.26559097907465,0.24149214889716075,-5.292001084365246,-3.409382270321496
25,Q0140,,,-6.676589557645663,-6.550506437397755
26,Q0142,,,-6.676589557645663,-6.550506437397755
27,Q0143,,,-6.676589557645663,-6.550506437397755
28,Q0144,,,-6.676589557645663,-6.550506437397755
29,Q0160,-6.577385423292309,-0.08043608922303462,-6.015042589648474,-5.82831900092658
30,Q0182,,,-6.676589557645663,-6.550506437397755
31,Q0250,-6.490721860126565,0.24149207491339533,-6.0935496215674965,-6.057167403290849
32,Q0255,,,-6.676589557645663,-6.550506437397755
33,Q0275,-6.151306604148329,0.7009238920499672,-5.9522151900373625,-5.334556203511245
34,Q0297,,,-6.676589557645663,-6.550506437397755
35,RDN18-1,,,-6.676589557645663,-6.550506437397755
36,RDN18-2,,,-6.676589557645663,-6.550506437397755
37,RDN25-1,,,-6.676589557645663,-6.550506437397755
38,RDN25-2,,,-6.676589557645663,-6.550506437397755
39,RDN37-1,,,-6.676589557645663,-6.550506437397755
40,RDN37-2,,,-6.676589557645663,-6.550506437397755
41,RDN5-1,5.09516879652998,0.8040965518474932,4.737591368187372,52.85806752515691
42,RDN5-2,-6.115782061220286,-0.5240429897297503,-5.466759329373318,-5.1061314085747265
43,RDN5-3,,,-6.676589557645663,-6.550506437397755
44,RDN5-4,,,-6.676589557645663,-6.550506437397755
45,RDN5-5,,,-6.676589557645663,-6.550506437397755
46,RDN5-6,12.024654454704105,1.3801069383914892,4.2278253619752455,46.250652425058824
47,RDN58-1,,,-6.676589557645663,-6.550506437397755
48,RDN58-2,,,-6.676589557645663,-6.550506437397755
49,RNA170,-5.895925903223546,-0.38299928332219774,-5.874102213830465,-5.859978890338905
50,RPM1,,,-6.676589557645663,-6.550506437397755
51,RPR1,-5.642527001316231,0.017490530323752838,-5.149677048283895,6.205123194914323
52,RUF20,-4.721775766349893,-0.2137055761072558,-4.080257565352494,-5.287225318464155
53,RUF21,-4.431136941148418,-0.5024116965536689,-4.105228095819027,-4.69441610985158
54,RUF22,-6.775916798117669,1.2414920886746574,-6.676589557645663,-6.550506437397755
55,RUF23,-6.197627512123873,-0.09554304590635133,-5.289552875692423,-5.7259814887723275
56,RUF5-1,-5.100257952016069,-0.06975911760250504,4.395668168555727,-4.64978057227082
57,RUF5-2,-3.0105153620540257,-0.2668243870124543,5.267599327975681,-4.520751769026266
58,SCR1,74.51714181677707,0.8154558557315839,127.76224533227284,579.1412861680153
59,SRG1,-2.23600760404259,-0.2822736557797182,-5.0658002788745335,-2.8629415340006545
60,TLC1,-2.750457313818982,-0.10387828823815322,5.057361550274022,-0.10894944590689236
61,YAL001C,-4.882551418832883,-0.07369328684325163,-4.607831079249983,-4.752771780134173
62,YAL002W,-4.332251144317023,-0.11090764660197604,-4.390364981412062,-4.0048516166728705
63,YAL003W,51.66692231779373,0.18534394169839832,73.3742998133593,41.6438742769848
64,YAL004W,,,-6.676589557645663,-6.550506437397755
65,YAL005C,-2.4215458255941082,-0.03287986557710099,161.5869308383557,153.13874173183095
66,YAL007C,-4.4826371786684245,-0.06584862334327696,-4.7753433479009635,-4.739918976215436
67,YAL008W,-4.776055820350067,-0.09708319164246003,-4.788835871754836,0.4116073332879046
68,YAL009W,-5.129253083992951,-0.07003657189790537,-5.080177436281326,-4.9629524857471745
69,YAL010C,-5.048870991493438,-0.07695085095193464,-3.9508945613139224,-4.671272824588435
70,YAL011W,-5.335325039284082,0.0012135813899610231,-3.433222747402617,-2.9815931443784143
71,YAL012W,8.413673520000566,0.12999891419803303,13.381083595378716,2.2070804356755374
72,YAL013W,-4.749191880145116,0.0464708320974448,-4.445793576412196,-4.112769416141251
73,YAL014C,-5.125569924876258,-0.006380175744266423,-4.586798891775858,-2.340228667203894
74,YAL015C,-2.7407685065077687,-0.2088194446660813,-4.472640826639072,-2.694621765510861
75,YAL016C-A,-5.95129301944035,0.028947459136149774,-4.275476187747013,-5.544993066822979
76,YAL016C-B,-5.659853567124652,-0.15987128828176062,-5.020901105649401,-4.865268069648575
77,YAL016W,-0.21667137919596707,-0.13771962848582442,-4.784163383286346,-4.732275826965326
78,YAL017W,14.473788302809062,-0.34151307022302985,9.78663250815059,-1.6891783660760096
79,YAL018C,-5.872389152946039,1.1159614928350865,-6.312732183613446,-5.726199345192943
80,YAL019W,-4.68493208643576,0.06401478683971097,15.731709989493774,24.382831115709667
81,YAL019W-A,-6.577385423292309,-0.08043608922303462,-6.45607391614433,-6.189412738647244
82,YAL020C,-3.9650162047989026,0.1423521338619295,-4.9982212051051835,-3.6729218698421247
83,YAL021C,-4.216034148088876,0.06907685929726341,-1.022948817869899,-4.2838132815644006
84,YAL022C,-4.76692651235816,0.04911563977364445,-4.782241136579217,-4.845318426898175
85,YAL023C,-4.775261664727924,-0.01071417420938708,-4.617848936047518,-2.0083302165088495
86,YAL024C,-5.387277918846162,0.034069523168327315,-2.794296178367179,-3.4682255660940244
87,YAL025C,6.171304982848239,0.26156782866396755,55.77710409488363,42.41641185394727
88,YAL026C,-2.127851498349839,-0.14984079832324837,-4.740123345935336,-4.032552993838999
89,YAL026C-A,-5.9433082077658534,-0.02529458919044024,-5.629166871247341,-5.123758288911768
90,YAL027W,-4.979070565124494,-0.11184781283394983,-4.993106655484171,-5.021848441489087
91,YAL028W,-3.729895455918559,-0.16031379036158383,-1.920128697786448,-5.029244315026804
92,YAL029C,-2.938066257520431,-0.10477378331096455,-2.075003261972461,-0.8092616960604135
93,YAL030W,-5.114764060374056,-0.03916727715557067,-4.9456112555377,-1.436556858234916
94,YAL031C,-3.364427389054209,-0.16759827263555177,-5.058342013681669,-3.4110431384966624
95,YAL031W-A,-5.618486035262092,-0.8174022184434109,-5.960676649611191,-5.90186722881135
96,YAL032C,-4.954596935234373,0.06160668872965751,-4.2407543418272615,-4.932190837048588
97,YAL033W,-5.286934198392917,0.05583858194363832,-4.460858187479709,-3.8950021868338434
98,YAL034C,-3.8492032108783545,-0.12875206958045882,-0.6493285347739153,-4.688887591825166
99,YAL034C-B,-5.823698518871553,0.06092003427731942,-4.917603207304864,-5.604850420956869
100,YAL034W-A,-5.567137483755,-0.03969026198151656,-5.22517031680616,-5.06488878862948
101,YAL035W,-4.213867518426314,0.027824155637340323,-0.5200875313040444,18.767064989615513
102,YAL036C,-5.0518748769154005,0.03802033518847178,-3.0188791507762454,6.553688261598409
103,YAL037C-A,-1.4333529713502084,-0.9212410735228267,-5.101972140252812,-4.3361329476495865
104,YAL037C-B,-4.095860093313225,-0.17824771110444929,4.425084374636315,5.107217996448136
105,YAL037W,-5.727138938697423,0.049960892644328465,-3.3925375121316304,-5.337588424224739
106,YAL038W,-4.424121015382236,0.0002967152878217163,135.46021834526195,8.495210042557831
107,YAL039C,-2.291088828762323,0.09820502063400774,-1.245460136234175,1.8098538385295453
108,YAL040C,-1.726527171832989,0.15879353676800853,23.081551279851475,21.481405986872744
109,YAL041W,-5.210407070181849,0.007339296836007403,-2.6228494819764987,-1.6036192481709406
110,YAL042C-A,-6.848613145246073,-0.7585080220795631,-6.45607391614433,-6.550506437397755
111,YAL042W,-4.8630258659014975,0.000828157481698846,1.7162223949625754,-1.2239709125748537
112,YAL043C,-4.101962762117016,0.09115677987972973,-4.3145667114680455,-3.2939257441608887
113,YAL044C,-2.340937153213876,0.11188590174656365,12.127430187767148,25.595002996835717
114,YAL044W-A,-5.794678743452828,-0.0414421536725837,-5.165924188627774,-5.486719487417425
115,YAL045C,-6.455892976562624,0.504526531500324,-5.476747333027352,-6.189412738647244
116,YAL046C,-4.060787298377952,0.17807221996542538,-4.880520548131184,-3.0662120321421003
117,YAL047C,-5.0588050683545,-0.11797077002445247,-5.17749805098113,-3.6406022870830768
118,YAL047W-A,-6.437019315724181,1.8264546493969087,-6.676589557645663,-6.189412738647244
119,YAL048C,-5.152864555822147,-0.12338491912982681,-4.794343467447354,-5.232617295716836
120,YAL049C,-4.858677515056841,0.06097155744873677,-4.803587566765784,-1.657408866615291
121,YAL051W,-5.2016038218469225,0.03192811284358022,-2.9495209797045856,-3.885564240441636
122,YAL053W,2.6338934973872608,-0.124571360556409,19.863805267735284,14.1578166665429
123,YAL054C,-5.247453721973593,-0.06413620516642775,-4.9669898813973665,-4.477696763956312
124,YAL055W,-5.153919667890942,0.06379576675703964,-3.690379664566952,-3.0189814391800684
125,YAL056C-A,-6.134363924772381,-0.4214732375932847,-6.077932947076493,-5.905381006650325
126,YAL056W,-5.075576923747755,-0.011422898536864446,0.5616846774670697,-1.1167994638166174
127,YAL058W,-3.851033245294829,-0.19714985207842614,-5.191820802554003,-4.79144088676242
128,YAL059C-A,,,-6.676589557645663,-6.550506437397755
129,YAL059W,-4.923140876021079,0.15660597336274,-0.22076404138852576,2.0293792751628272
130,YAL060W,-1.3457866684044548,-0.12272117920899274,35.08090314535891,36.45591929141146
131,YAL061W,-3.8844842843147447,-0.05707822248433494,14.866680592248212,34.38824511717845
132,YAL062W,-5.2793150519069325,-0.016537231654711014,-4.526791043093637,-3.9667238115281998
133,YAL063C,-4.914753304565464,-0.09719342932836049,-3.8576684855393792,-4.544889767922619
134,YAL063C-A,-4.629607011679612,-1.9284336555688797,-5.967813219239346,-6.302233524933105
135,YAL064C-A,-5.324103497902569,-0.2602584534304946,-5.53174396167222,-5.52199683974587
136,YAL064W,-6.181656465992346,-0.49547379602778396,-5.895160681403317,-5.895291074270479
137,YAL064W-B,-5.835319843147826,0.1358822575367124,-5.687340983819618,-5.510693414575063
138,YAL065C,-5.814369267660329,-0.08656252702643545,-5.23638684278131,-5.472850646299076
139,YAL066W,,,-6.676589557645663,-6.550506437397755
140,YAL067C,-5.899445884058864,-0.1293460023647723,-5.677617398709963,-5.6409021002557225
141,YAL067W-A,-6.600548496258746,0.24149205641746124,-6.133300431406407,-6.053960589289673
142,YAL068C,-5.4184848404083095,0.6703360986872537,-5.967813219239346,-5.705862905401708
143,YAL068W-A,,,-6.676589557645663,-6.550506437397755
144,YAL069W,,,-6.676589557645663,-6.550506437397755
145,YAR002C-A,-5.046392591228408,0.006210817732162925,-4.0971200022203975,-2.485420953814203
146,YAR002W,-5.125262218370817,0.018831287409487106,3.640965065986122,2.401718176940916
147,YAR003W,-5.2878314578268855,-0.01141743054393739,-2.628992189901791,-4.766243168094911
148,YAR007C,-5.222758042247208,-0.018131102463227643,-2.20737576868812,-4.416050242878435
149,YAR008W,-5.413557250342535,-0.039352063275359686,-2.978814848698885,-3.9782304803792847
150,YAR009C,-4.036313668487831,-0.054024612313539645,0.6879557190764648,-4.494753034955009
151,YAR010C,-5.058471838284294,-0.036745622169969315,-3.5932343172871617,-4.616656576574681
152,YAR014C,-5.128884700777763,-0.004335358850488104,-2.653839399615239,-1.557811936933652
153,YAR015W,6.036962735145074,0.17107171653005845,17.419945116184582,146.67092364040445
154,YAR018C,-5.131143173855932,-0.07433235461035964,-4.967869784289575,-5.098214753121956
155,YAR019C,-4.952623906728889,-0.09752580677053359,-3.249977271951325,-3.772385415600494
156,YAR019W-A,-6.246758110386152,0.2414921581451348,-5.811859995441472,-6.018201840310324
157,YAR020C,-5.5360734934179066,0.24149299971373175,-5.588241323589439,-5.498815728611515
158,YAR023C,-5.395711852071042,-0.1384740971354397,-5.088331121541661,-4.898248398220528
159,YAR027W,-0.24685599730320176,-0.19821996705622894,3.8120156423465588,15.770197570769165
160,YAR028W,-5.364094212643483,0.004547018054613111,-4.231981328303336,-4.8756427127474895
161,YAR029W,-5.404272082935362,0.3484083046931797,-4.321312866615362,-4.014100770226615
162,YAR030C,-3.4017542305670676,0.8182828743690409,-4.5260186575708525,-1.5293724019663522
163,YAR031W,-5.413420701859637,-0.057314679770762954,-5.15462705374727,-5.233528591817127
164,YAR033W,-3.9295791425174054,-0.1904497537238163,-4.955948642256707,-5.076954283764694
165,YAR035C-A,-6.455892976562624,0.504526531500324,-6.015042589648474,-6.302233524933105
166,YAR035W,-5.475239112238664,0.026307641511792816,-2.7649004027870894,-4.3547724609478085
167,YAR042W,5.796213703716404,-0.23575571292291306,-0.3432344274710158,-4.612870449547497
168,YAR047C,-6.069696137465205,-0.14845468747783486,-5.416231219098235,-5.8289966129509505
169,YAR050W,-5.195712253114796,-0.07166808443118784,-5.102901569473913,-5.032533787394276
170,YAR053W,-5.838117474123999,-0.5658633637024689,-5.667398582668855,-5.965137760673893
171,YAR060C,-6.134363924772381,-0.4214732375932847,-6.031968504622984,-6.018201840310324
172,YAR061W,-5.872389152946039,1.1159614928350865,-5.476747333027352,-5.90186722881135
173,YAR062W,-5.895925903223546,-0.38299928332219774,-5.902167489467769,-5.846820590583658
174,YAR064W,-5.9009578834685374,-0.11840423358689607,-4.904630946113814,-5.680251651918766
175,YAR066W,-5.551238632643398,-0.16289921107404154,-5.520089406284113,-5.465909006790485
176,YAR068W,-2.872244763342223,0.38445518069247714,-5.348009267305615,-5.251138181860194
177,YAR069C,-6.16693433585892,0.756065436994452,-6.0357161670140425,-6.046654013208803
178,YAR070C,-6.22561109777972,-0.1735455948994913,-5.673104833284618,-5.785677059959394
179,YAR071W,0.10976533279944162,0.1038696338622258,-2.5502150015522598,-1.1631907624992448
180,YAR073W,-4.984734803282819,-0.08456906438161238,-5.114397586249033,-4.87599956376379
181,YAR075W,-4.865496629805873,0.14527987124458638,-4.677134326768356,-5.199821229938889
182,YBL001C,-3.4312369247572896,-0.12007733083379524,-3.697538513235731,4.0018856930234525
183,YBL002W,12.158780528685817,-0.21010594226904827,17.909722424191603,4.127882388669081
184,YBL003C,-4.400605528723577,-0.026138176626581786,9.258845299113112,-2.280138637043743
185,YBL004W,-4.773710862251736,0.03665582060566908,39.331578485161735,46.77205760392238
186,YBL005W,-5.196021926953829,0.0018582021807550804,-1.5674492505823812,2.759253967703478
187,YBL005W-A,,,-6.676589557645663,-6.550506437397755
188,YBL005W-B,-4.401824421313943,-0.03943886911242932,1.2064493348240812,-3.802982630156809
189,YBL006C,-4.857066475932368,0.0512092641229814,-3.671606209030679,-4.268739597464991
190,YBL006W-A,,,-6.676589557645663,-6.550506437397755
191,YBL007C,-3.6832504941608546,-0.05365576645086083,8.251192338137237,3.040259472166837
192,YBL008W,-4.460883128610187,0.14151598204154514,-1.6237828319780285,-0.9702481056259874
193,YBL008W-A,-6.044734346481888,-1.080436342988728,-6.1707235557391185,-6.302233524933105
194,YBL009W,-5.374584630735716,0.0013580658902230573,3.851069103832447,4.027273246439649
195,YBL010C,-5.5120403909366855,0.02908420756963227,-4.763769886780117,-4.866892155301082
196,YBL011W,-4.1233752727092154,-0.06657998445737616,-3.6823810297853714,-0.9384284326871695
197,YBL012C,-5.2968377340162585,-0.6943784962682191,-5.780662578817267,-5.886735315975358
198,YBL013W,-5.045309082252365,-0.3012065235188609,-5.447103711513177,-4.935154075028792
199,YBL014C,-5.406327972425445,0.02171144875086372,3.9762631532583232,-0.8872167331130617
200,YBL015W,-4.48559024993457,-0.0749987370919243,3.5486535220579105,0.8286205109983464
201,YBL016W,-1.39028731420429,0.20787489686415972,-0.3253257833074201,-1.064746172583417
202,YBL017C,7.412953021957511,-0.18776783914149767,12.629920903753494,-3.547719045072987
203,YBL018C,-4.7963703775959,0.1303114528408996,-1.248526976331095,-4.476622658058261
204,YBL019W,-5.278660007478551,-0.08209840303816131,-5.170096430758447,-5.132160984244375
205,YBL020W,-4.1193875134032805,-0.12763421708657086,0.17751939571464642,2.8409620106868427
206,YBL021C,-5.304015598195361,0.03630305391260465,-5.15729231187463,-3.6524575169691063
207,YBL022C,2.2935436986821482,-0.16837979539312942,-1.600255327758576,-3.9046864705720923
208,YBL023C,-5.240447917621024,0.019963378452661492,-3.086837965229383,-3.869528646702374
209,YBL024W,-4.72028874689965,-0.05085319401325719,31.947651360654458,21.26401799347274
210,YBL025W,-5.561428229897763,-0.0015806794822343208,-4.915123506269925,-3.1539796114345395
211,YBL026W,-3.473182754913609,-0.16460473199086792,-2.4460154561021232,-1.4132857351172141
212,YBL027W,21.196526226603048,0.10305187160223545,20.70058497770522,28.54625061592781
213,YBL028C,-5.347132431900652,0.03280450145033332,19.058213444818325,10.492491189420605
214,YBL029C-A,-4.053493486741836,-0.20189521571894367,-5.190728427633808,-3.6505040258982127
215,YBL029W,-5.392492362418928,-0.008895307743172258,-5.010028422991468,-3.7605801326903414
