,locus_name,BF,FC,BF_k1_1,BF_k1_2
0,15S_rRNA,-5.550240081415386,0.3151778046181279,-6.073886975867159,-5.593532516544128
1,21S_rRNA,-5.339267886434978,-0.10475825709423517,-5.036574755308096,-5.138488912744501
2,HRA1,-5.942505762267175,0.6805246652434426,-4.8865898687628535,-6.232850936093072
3,ICR1,-5.703307332593619,-0.04892165413635434,-4.74845865362091,-4.352786722431878
4,LSR1,-5.7453025531774955,-0.012000695068959752,-4.4799077427541025,-3.7798803870964384
5,NME1,-6.212655901680589,-0.017212806531653333,-5.584931718410106,-5.30194798236163
6,PWR1,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
7,Q0010,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
8,Q0017,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
9,Q0032,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
10,Q0045,-6.810788926442541,-0.5751304949398586,-6.279228857188461,-5.890212175353047
11,Q0050,-6.4166682645718005,0.02844776585385488,-5.932351459853001,-5.77365640120871
12,Q0055,-6.305427671301397,-0.3000233774442028,-6.295214655632373,-5.683986551364028
13,Q0060,-7.087696210184057,1.3724021680853018,-6.596855598414577,-6.5348771262842416
14,Q0065,-6.529648822986591,-1.434952863364924,-6.279228857188461,-6.212544668213857
15,Q0070,-7.293923020714665,-1.2125603823367237,-6.596855598414577,-6.5348771262842416
16,Q0075,-7.293923020714665,-1.2125603823367237,-6.596855598414577,-6.5348771262842416
17,Q0080,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
18,Q0085,-6.197802673171415,-2.0199153798204637,-6.596855598414577,-6.5348771262842416
19,Q0092,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
20,Q0105,-6.738910996833255,-1.212560423796372,-6.596855598414577,-6.212544668213857
21,Q0110,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
22,Q0115,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
23,Q0120,-7.085093514171234,-0.6275978866110079,-6.596855598414577,-6.5348771262842416
24,Q0130,-4.249352280008072,1.372402544709028,-6.279228857188461,-6.232850936093072
25,Q0140,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
26,Q0142,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
27,Q0143,-7.628123921524429,-0.21256036410462092,-6.596855598414577,-6.5348771262842416
