,locus_name,BF,FC,BF_IC_WT,AOTP_WT,BF_IC_Snf2,AOTP_Snf2
1,21S_rRNA,-1.3026415672217568,0.1471768251107613,362.1155073181198,True,1052.2039680888681,True
4,LSR1,0.4510118473331881,0.1202432254312196,251.78712495175944,True,478.066413530278,True
41,RDN5-1,13.77460092093747,0.3160402254682106,246.9145836109906,True,521.186933099769,True
46,RDN5-6,15.23094259949099,0.469612191268706,172.85068631750528,True,347.304031271929,True
56,RUF5-1,-1.191578752032124,0.0801332056340218,232.72061502820802,True,4.230185987555904,True
57,RUF5-2,-3.13938396998362,0.0776768253587661,105.6533909577076,True,-93.02686235833075,False
58,SCR1,10.530222635089824,0.1256052091424891,3463.535578290302,True,5939.24953649007,True
59,SRG1,365.7333597284148,-0.9398031480150943,1.1900749649459001,True,-141.2637134806501,False
60,TLC1,777.7631235447653,0.4727380960145318,284.8953444315611,True,178.48821967783923,True
63,YAL003W,6673.475967675595,-0.5941326512514147,954.6634049368784,True,259.1316181622329,True
65,YAL005C,5690.406648175856,-0.4675870052840294,3022.0956990381355,True,1476.210000087905,True
71,YAL012W,4019.976649110938,0.5436704143789074,188.7631767152112,True,491.94874568403867,True
78,YAL017W,251.83956848043655,0.30696787673026,62.47813813562599,True,68.26797441687084,True
80,YAL019W,129.3859265812397,-0.3036076610252306,261.4607355105084,True,-84.00337535068628,False
87,YAL025C,1424.5770043408406,-0.9581043744800318,936.9988335371579,True,-14.001746461837564,False
92,YAL029C,143.33466965914874,0.2258314092470426,90.69101055536561,True,-58.33172605958432,False
101,YAL035W,175.5183511362792,-0.1338098329321626,802.0309477620794,True,181.28381964182987,True
102,YAL036C,201.32870592330372,-0.4096213364823724,107.31196084883108,True,-115.3850393717631,False
104,YAL037C-B,-0.026306770622794,-0.1145745070465938,402.52389936714735,True,305.56253034927084,True
106,YAL038W,40720.852130163024,-0.9606742204489254,6503.717893555676,True,2615.878411325624,True
107,YAL039C,452.90847247127584,0.3159851922800299,102.22786351330977,True,198.14769554306991,True
108,YAL040C,32.60206292241146,0.1429987229138748,291.219571257632,True,-64.41263310576956,False
113,YAL044C,1603.445665772148,-0.7967605132455361,453.2065410094471,True,-104.68406121505126,False
122,YAL053W,4215.4189579044105,0.6813815498366771,314.22041264449564,True,29.78608396452833,True
130,YAL060W,60.16598828889233,-0.1360483041745404,510.9381417803785,True,-39.785433323680785,False
131,YAL061W,9735.10691604942,-1.9385300257942883,556.9986070775344,True,-115.77576816374186,False
146,YAR002W,7.39060258507511,0.0858101554682714,59.84474072340714,True,-137.76939995155203,False
150,YAR009C,10352.936544844642,-2.19798393543684,130.21301402812162,True,-162.21347743656975,False
153,YAR015W,4299.519171730693,-1.020118118638289,2278.2505407821404,True,39.496778968582795,True
159,YAR027W,125.62235405002582,0.2544610859255126,379.1588039718052,True,-16.617634249151514,False
179,YAR071W,28112.980117957584,-3.996880404743102,116.72731577990477,True,-200.01976763311666,False
183,YBL002W,1694.6518098410293,0.5205401811488618,643.3227546515571,True,598.0794034230507,True
184,YBL003C,7372.030086193813,0.8022101176745102,368.10767523284954,True,726.0379303073493,True
185,YBL004W,35.22586177227616,-0.1223914812042177,1043.754296182306,True,70.30220244453194,True
188,YBL005W-B,9631.636407738377,-1.9258742851759811,143.94624614949413,True,-150.7315392759835,False
202,YBL017C,1077.994822451765,0.4323506692389061,166.0791764289892,True,32.18094649514742,True
207,YBL022C,-3.805222432980325,0.0218926176086186,26.33290076698354,True,-53.96024023258868,False
