,locus_name,FC0_bayexpress,FC1_bayexpress,FC2_bayexpress,FC0_edgeR,FC1_edgeR,FC2_edgeR,FC0_DESeq2,FC1_DESeq2,FC2_DESeq2
128,YAL059C-A,False,False,False,,,,False,False,False
129,YAL059W,True,False,False,True,False,False,True,False,False
130,YAL060W,True,False,False,True,False,False,True,False,False
131,YAL061W,True,True,False,True,True,True,True,True,True
132,YAL062W,True,False,False,True,False,False,True,False,False
133,YAL063C,True,False,False,False,False,False,False,False,False
134,YAL063C-A,True,True,False,,,,True,True,False
135,YAL064C-A,False,False,False,True,False,False,True,False,False
136,YAL064W,True,True,False,,,,True,True,False
137,YAL064W-B,False,False,False,True,False,False,True,False,False
138,YAL065C,True,False,False,False,False,False,False,False,False
139,YAL066W,False,False,False,,,,False,False,False
140,YAL067C,True,True,False,True,True,False,True,True,False
141,YAL067W-A,False,False,False,,,,False,False,False
142,YAL068C,False,False,False,False,False,False,False,False,False
143,YAL068W-A,False,False,False,,,,False,False,False
144,YAL069W,False,False,False,,,,,,
145,YAR002C-A,True,False,False,True,False,False,True,False,False
146,YAR002W,True,False,False,True,False,False,True,False,False
147,YAR003W,True,False,False,True,False,False,True,False,False
148,YAR007C,True,False,False,True,False,False,True,False,False
149,YAR008W,True,False,False,True,False,False,True,False,False
150,YAR009C,True,True,True,True,True,True,True,True,True
151,YAR010C,True,False,False,True,False,False,True,False,False
152,YAR014C,True,False,False,True,False,False,True,False,False
153,YAR015W,True,True,False,True,True,False,True,True,False
154,YAR018C,True,False,False,True,False,False,True,False,False
155,YAR019C,True,False,False,True,False,False,True,False,False
156,YAR019W-A,False,False,False,,,,False,False,False
157,YAR020C,True,False,False,True,False,False,True,False,False
158,YAR023C,True,False,False,False,False,False,False,False,False
159,YAR027W,True,False,False,False,False,False,False,False,False
160,YAR028W,True,False,False,False,False,False,False,False,False
161,YAR029W,False,False,False,False,False,False,False,False,False
162,YAR030C,False,False,False,False,False,False,False,False,False
163,YAR031W,True,False,False,False,False,False,False,False,False
164,YAR033W,True,False,False,False,False,False,False,False,False
165,YAR035C-A,True,True,False,,,,True,True,False
166,YAR035W,True,True,False,True,False,False,True,False,False
167,YAR042W,True,False,False,False,False,False,False,False,False
168,YAR047C,False,False,False,,,,True,False,False
169,YAR050W,False,False,False,True,False,False,True,False,False
170,YAR053W,True,True,False,True,True,False,True,True,False
171,YAR060C,False,False,False,,,,False,False,False
172,YAR061W,False,False,False,,,,False,False,False
173,YAR062W,False,False,False,False,False,False,False,False,False
174,YAR064W,False,False,False,False,False,False,False,False,False
175,YAR066W,True,False,False,False,False,False,False,False,False
176,YAR068W,True,True,False,True,False,False,True,False,False
177,YAR069C,False,False,False,,,,True,False,False
178,YAR070C,False,False,False,,,,True,False,False
