genes,#R3,#R6,#R12,#R20
YBL039C,8,61,19,11
YBL039C-A,0,0,0,0
YBL039W-B,44,19,12,3
YBL040C,1,2,1,0
YBL041W,3,4,19,6
YBL042C,0,0,0,1
YBL043W,0,2,2,1
YBL044W,92,93,82,98
YBL045C,0,0,0,0
YBL046W,0,9,0,0
YBL047C,0,0,0,0
YBL048W,0,0,0,0
YBL049W,2,12,46,12
YBL050W,2,4,5,0
YBL051C,15,5,6,0
YBL052C,0,0,0,0
YBL053W,0,0,0,0
YBL054W,4,11,17,4
YBL055C,9,7,4,9
YBL056W,1,0,3,4
YBL057C,0,0,0,0
YBL058W,0,0,0,0
YBL059C-A,0,0,0,0
YBL059W,0,0,0,0
YBL060W,1,3,2,7
YBL061C,6,9,2,8
YBL062W,0,0,0,0
YBL063W,0,0,0,0
YBL064C,0,0,0,0
YBL065W,0,0,0,0
YBL066C,16,3,9,9
YBL067C,8,0,0,0
YBL068W,5,15,15,9
YBL068W-A,0,0,0,0
YBL069W,6,1,1,4
YBL070C,0,0,0,0
YBL071C,0,0,0,0
YBL071C-B,0,0,0,0
YBL071W-A,0,0,0,0
YBL072C,6,5,21,0
YBL073W,0,0,0,0
YBL074C,4,1,7,2
YBL075C,0,0,0,6
YBL076C,7,7,29,7
YBL077W,0,0,0,0
YBL078C,0,1,1,1
YBL079W,0,5,1,0
YBL080C,1,0,0,0
YBL081W,25,2,4,1
YBL082C,0,0,0,0
YBL083C,0,0,0,0
YBL084C,30,13,76,24
YBL085W,22,19,58,50
YBL086C,2,6,11,2
YBL087C,37,26,10,15
YBL088C,0,0,0,0
YBL089W,0,0,0,0
YBL090W,0,0,0,0
YBL091C,0,0,0,0
YBL091C-A,0,3,2,0
YBL092W,24,2,0,1
YBL093C,0,0,0,0
YBL094C,0,0,0,0
YBL095W,0,21,0,0
YBL096C,0,0,0,0
YBL097W,0,0,0,0
YBL098W,0,0,1,1
YBL099W,0,0,0,0
YBL100C,0,0,0,0
YBL100W-A,0,0,0,0
YBL100W-B,98,99,99,96
YBL100W-C,0,0,0,0
YBL101C,0,0,0,0
YBL102W,0,0,0,0
YBL103C,0,0,0,0
YBL104C,0,0,0,0
YBL105C,1,0,0,0
YBL106C,0,0,1,0
YBL107C,0,0,0,0
YBL107W-A,0,0,0,0
YBL108C-A,0,0,0,0
YBL108W,0,0,0,0
YBL109W,0,0,0,0
YBL111C,0,0,0,0
YBL112C,0,0,0,0
YBL113C,3,2,1,0
YBL113W-A,0,0,0,0
YBR001C,5,4,1,0
YBR002C,0,0,5,0
YBR003W,0,0,0,0
YBR004C,0,0,0,0
YBR005W,0,0,0,0
YBR006W,0,8,1,0
YBR007C,2,9,8,20
YBR008C,9,2,1,7
YBR009C,6,0,0,3
YBR010W,5,1,0,0
YBR011C,0,3,5,1
YBR012C,3,5,12,6
YBR012W-A,0,0,0,0
YBR012W-B,100,100,100,100
YBR013C,0,0,0,0
YBR014C,23,40,50,65
YBR015C,0,0,0,0
YBR016W,0,0,0,0
YBR017C,5,32,28,12
YBR018C,8,9,25,8
YBR019C,0,0,0,0
YBR020W,4,0,4,13
YBR021W,0,0,1,0
YBR022W,18,2,0,8
YBR023C,4,6,6,15
YBR024W,0,0,0,0
YBR025C,49,32,84,33
YBR026C,0,0,0,0
YBR027C,0,0,0,0
YBR028C,0,9,1,1
YBR029C,18,1,0,1
YBR030W,0,2,2,0
YBR031W,13,4,2,1
YBR032W,0,0,0,0
YBR033W,0,0,0,1
YBR034C,53,33,39,19
YBR035C,13,14,17,10
YBR036C,0,0,0,0
YBR037C,0,0,0,0
YBR038W,4,5,6,12
YBR039W,0,5,2,0
YBR040W,0,0,0,0
YBR041W,0,1,0,16
YBR042C,0,0,0,0
YBR043C,11,29,23,36
YBR044C,0,0,0,0
YBR045C,0,0,0,0
YBR046C,0,1,0,0
YBR047W,0,0,0,0
YBR048W,11,9,2,2
YBR049C,0,0,0,0
YBR050C,1,1,0,3
YBR051W,2,0,0,0
YBR052C,0,5,8,0
YBR053C,0,0,0,0
YBR054W,58,55,16,28
YBR055C,10,1,0,10
YBR056C-B,0,0,0,0
YBR056W,0,0,0,0
YBR056W-A,0,0,0,1
YBR057C,1,0,1,0
YBR058C,0,0,0,0
YBR058C-A,3,0,0,0
YBR059C,15,3,18,9
YBR060C,0,0,0,0
YBR061C,22,35,24,10
YBR062C,0,0,0,0
YBR063C,3,0,0,1
YBR064W,0,0,0,0
YBR065C,0,1,4,1
YBR066C,0,0,0,0
YBR067C,100,100,99,94
YBR068C,93,83,59,83
YBR069C,49,85,81,47
YBR070C,100,100,99,100
YBR071W,1,2,2,1
YBR072C-A,0,0,0,0
YBR072W,0,0,0,0
YBR073W,3,2,10,22
YBR074W,0,0,0,0
YBR076C-A,0,1,28,0
YBR076W,0,0,0,0
YBR077C,11,10,30,25
YBR078W,1,0,1,0
YBR079C,7,16,11,5
YBR080C,0,0,0,0
YBR081C,6,0,0,4
YBR082C,0,0,0,0
YBR083W,0,1,0,0
YBR084C-A,1,1,6,1
YBR084W,0,2,1,0
YBR085C-A,0,0,1,0
YBR085W,12,30,46,25
YBR086C,0,0,0,0
YBR087W,0,0,0,0
YBR088C,0,0,0,0
YBR089C-A,0,4,3,1
YBR089W,0,0,0,0
YBR090C,3,0,0,0
YBR091C,0,0,0,0
YBR092C,100,100,100,97
YBR093C,100,100,98,80
YBR094W,0,2,1,0
YBR095C,0,0,0,0
YBR096W,2,1,1,0
YBR097W,0,0,0,0
YBR098W,1,0,0,2
YBR099C,0,0,0,0
YBR101C,0,1,0,0
YBR102C,0,0,0,0
YBR103C-A,0,0,0,0
YBR103W,7,11,5,12
YBR104W,11,3,6,0
YBR105C,5,0,1,0
YBR106W,0,0,0,0
YBR107C,0,0,0,0
YBR108W,0,0,0,0
YBR109C,1,1,4,2
YBR109W-A,14,10,12,12
YBR110W,0,0,0,0
YBR111C,4,3,1,0
YBR111W-A,1,1,2,1
YBR112C,6,2,1,8
YBR113W,0,4,5,3
YBR114W,9,0,0,1
YBR115C,8,4,7,11
YBR116C,0,0,0,0
YBR117C,4,1,0,1
YBR118W,41,2,4,1
YBR119W,0,0,0,0
YBR120C,0,0,0,0
YBR121C,20,11,24,12
YBR121C-A,0,0,0,0
YBR122C,0,0,0,0
YBR123C,7,0,0,0
YBR124W,0,0,0,0
YBR125C,0,0,2,2
YBR126C,1,0,0,0
YBR126W-A,0,0,0,0
YBR126W-B,0,1,0,0
YBR127C,5,0,0,1
YBR128C,0,0,0,0
YBR129C,0,0,0,0
YBR130C,0,0,0,0
YBR131C-A,0,0,0,0
YBR131W,0,0,0,0
YBR132C,0,0,0,0
YBR133C,0,1,5,1
YBR134W,0,0,0,0
YBR135W,14,0,0,0
YBR136W,7,0,0,9
YBR137W,0,2,0,0
YBR138C,1,0,1,0
YBR139W,0,0,0,0
YBR140C,0,0,0,0
YBR141C,0,0,0,0
YBR141W-A,0,0,0,0
YBR142W,0,22,6,2
YBR143C,12,20,28,15
YBR144C,0,0,0,0
YBR145W,1,0,0,0
YBR146W,17,49,38,45
YBR147W,0,2,0,0
YBR148W,1,35,24,24
YBR149W,0,0,0,0
YBR150C,8,1,0,4
YBR151W,5,0,0,16
YBR152W,0,0,0,0
YBR153W,0,0,0,0
YBR154C,0,9,1,1
YBR155W,0,0,0,0
YBR156C,16,0,2,2
YBR157C,1,4,10,8
YBR158W,15,34,44,14
YBR159W,0,1,0,0
YBR160W,0,0,3,0
YBR161W,0,1,4,2
YBR162C,2,2,2,7
YBR162W-A,7,2,18,18
YBR163W,0,0,0,0
YBR164C,0,0,0,0
YBR165W,0,0,0,0
YBR166C,0,0,1,0
YBR167C,0,6,4,3
YBR168W,13,5,3,5
YBR169C,0,0,0,0
YBR170C,0,0,0,0
YBR171W,2,0,0,0
YBR172C,1,18,21,7
YBR173C,0,0,0,0
YBR174C,0,0,0,0
YBR175W,0,1,11,3
YBR176W,0,0,0,0
YBR177C,0,6,2,1
YBR178W,0,0,0,0
YBR179C,0,0,0,0
YBR180W,7,4,3,4
YBR181C,13,4,15,0
YBR182C,0,0,0,1
YBR182C-A,0,0,0,0
YBR183W,11,50,20,15
YBR184W,9,11,9,8
YBR185C,0,0,0,0
YBR186W,0,0,0,0
YBR187W,16,19,30,14
YBR188C,0,2,10,5
YBR189W,28,11,27,11
YBR190W,0,0,0,0
YBR191W,37,3,1,1
YBR191W-A,0,0,0,0
YBR192W,0,0,0,1
YBR193C,0,0,0,0
YBR194W,0,0,0,0
YBR195C,0,0,0,0
YBR196C,42,14,7,14
YBR196C-A,0,0,0,0
YBR196C-B,0,2,0,0
YBR197C,0,6,0,0
YBR198C,0,0,0,0
YBR199W,7,18,19,18
YBR200W,0,1,0,0
YBR200W-A,0,0,0,0
YBR201C-A,6,1,26,5
YBR201W,3,1,2,2
YBR202W,7,1,1,12
YBR203W,5,15,7,7
YBR204C,0,0,0,0
YBR205W,0,0,0,0
YBR206W,0,0,0,1
YBR207W,16,5,15,17
YBR208C,0,0,0,0
YBR209W,3,8,17,18
YBR210W,2,2,0,0
YBR211C,0,0,0,0
YBR212W,0,0,13,0
YBR213W,0,1,0,10
YBR214W,0,0,0,0
YBR215W,1,0,0,0
YBR216C,0,0,0,0
YBR217W,0,0,0,0
YBR218C,3,0,0,0
YBR219C,0,0,0,0
YBR220C,0,0,3,0
YBR221C,0,0,0,0
YBR221W-A,2,0,1,0
YBR222C,0,0,0,0
YBR223C,0,0,0,0
YBR223W-A,0,0,0,0
YBR224W,0,0,0,0
YBR225W,4,0,0,1
YBR226C,6,9,0,1
YBR227C,0,1,0,1
YBR228W,0,0,1,0
YBR229C,0,0,0,0
YBR230C,0,12,9,6
YBR230W-A,11,29,21,17
YBR231C,10,33,18,17
YBR232C,0,0,0,0
YBR233W,8,8,35,16
YBR233W-A,0,0,0,0
YBR234C,0,1,2,0
YBR235W,0,0,0,0
YBR236C,1,0,0,0
YBR237W,2,0,1,0
YBR238C,75,36,45,30
YBR239C,7,16,30,16
YBR240C,0,0,7,1
YBR241C,18,65,16,12
YBR242W,1,0,0,0
YBR243C,0,0,0,0
YBR244W,100,100,97,97
YBR245C,0,0,0,0
YBR246W,0,0,0,0
YBR247C,11,17,13,4
YBR248C,1,0,0,0
YBR249C,35,8,7,8
YBR250W,0,0,0,0
YBR251W,1,0,0,1
YBR252W,29,12,2,1
YBR253W,0,3,6,10
YBR254C,2,2,1,2
YBR255C-A,12,22,12,10
YBR255W,0,0,0,0
YBR256C,0,0,0,0
YBR257W,9,0,0,0
YBR258C,1,2,3,13
YBR259W,0,0,0,0
YBR260C,0,0,0,0
YBR261C,26,2,0,0
YBR262C,0,0,0,0
YBR263W,1,0,2,1
YBR264C,0,0,0,0
YBR265W,0,0,0,0
YBR266C,0,0,0,0
YBR267W,10,5,18,8
YBR268W,15,0,0,0
YBR269C,14,29,25,15
YBR270C,0,0,0,0
YBR271W,0,5,8,0
YBR272C,0,0,0,0
YBR273C,0,0,0,0
YBR274W,0,0,1,0
YBR275C,9,1,0,4
YBR276C,0,0,0,0
YBR277C,0,0,0,0
YBR278W,0,0,2,0
YBR279W,0,0,0,0
YBR280C,0,0,0,0
YBR281C,8,2,0,3
YBR282W,0,1,5,3
YBR283C,0,0,0,0
YBR284W,0,0,0,0
YBR285W,0,0,0,0
YBR286W,14,3,0,4
YBR287W,28,23,21,30
YBR288C,0,0,0,0
YBR289W,0,5,1,0
YBR290W,0,0,0,0
YBR291C,1,0,1,0
YBR292C,8,0,0,0
YBR293W,0,0,0,0
YBR294W,0,0,0,0
YBR295W,0,0,0,0
YBR296C,44,20,22,56
YBR296C-A,19,0,0,0
YBR297W,0,0,1,0
YBR298C,0,0,0,0
YBR298C-A,0,0,0,0
YBR299W,8,2,2,1
YBR300C,1,0,0,0
YBR301W,0,0,0,0
YBR302C,0,1,0,0
YCL001W,0,0,0,1
YCL001W-A,0,0,0,0
YCL001W-B,0,0,1,0
YCL002C,0,0,0,0
YCL004W,0,0,0,0
YCL005W,4,0,0,0
YCL005W-A,0,0,0,1
YCL007C,0,0,0,0
YCL008C,0,0,0,0
YCL009C,0,0,0,0
YCL010C,0,0,0,0
YCL011C,0,0,0,0
YCL012C,0,0,0,0
YCL014W,16,0,0,0
YCL016C,0,1,1,1
YCL017C,0,0,0,0
YCL018W,0,0,0,0
YCL019W,99,97,100,100
YCL020W,0,0,0,0
YCL021W-A,50,49,54,66
YCL022C,0,0,0,0
YCL023C,0,0,0,0
YCL024W,5,0,0,11
YCL025C,57,37,29,74
YCL026C-A,1,0,0,0
YCL026C-B,38,45,24,34
YCL027W,48,44,41,52
YCL028W,1,0,0,1
YCL029C,0,0,0,0
YCL030C,37,10,13,25
YCL031C,0,0,0,0
YCL032W,0,1,1,0
YCL033C,0,0,0,0
YCL034W,0,4,0,0
YCL035C,0,0,0,0
YCL036W,12,38,51,14
YCL037C,13,4,8,11
YCL038C,0,0,0,0
YCL039W,1,0,3,0
YCL040W,5,0,0,0
YCL041C,0,0,0,0
YCL042W,0,0,3,0
YCL043C,1,0,0,0
YCL044C,12,3,18,13
YCL045C,0,0,0,0
YCL046W,0,0,0,0
YCL047C,0,0,0,0
YCL048W,44,76,58,73
YCL048W-A,15,7,11,7
YCL049C,5,20,11,17
YCL050C,0,2,3,17
YCL051W,0,1,3,0
YCL052C,1,0,1,0
YCL054W,0,4,6,0
YCL055W,7,15,30,24
YCL056C,23,26,13,16
YCL057C-A,0,0,0,0
YCL057W,15,11,18,9
YCL058C,0,0,0,0
YCL058W-A,0,0,0,0
YCL059C,0,0,0,0
YCL061C,18,0,0,5
YCL063W,65,8,16,30
YCL064C,100,100,100,100
YCL065W,1,0,0,0
YCL066W,0,0,0,0
YCL067C,1,0,1,0
YCL068C,0,0,0,0
YCL069W,0,0,0,0
YCL073C,7,6,8,11
YCL074W,0,0,0,0
YCL075W,0,0,0,0
YCL076W,0,0,0,0
YCR001W,0,0,0,0
YCR002C,8,21,19,12
YCR003W,0,0,0,0
YCR004C,4,2,0,2
YCR005C,16,21,11,22
YCR006C,2,3,2,9
YCR007C,0,3,0,0
YCR008W,0,0,0,0
YCR009C,0,0,0,0
YCR010C,0,10,9,14
YCR011C,0,0,0,0
YCR012W,3,0,0,0
YCR013C,2,0,0,0
YCR014C,8,2,0,2
YCR015C,1,0,0,0
YCR016W,0,9,5,0
YCR017C,0,0,1,0
YCR018C,100,100,100,95
YCR018C-A,3,3,1,7
YCR019W,1,4,24,11
YCR020C,0,0,0,0
YCR020C-A,0,0,0,0
YCR020W-B,0,0,0,0
YCR021C,98,66,27,39
YCR022C,0,0,0,0
YCR023C,0,0,0,0
YCR024C,8,6,18,10
YCR024C-A,63,34,22,33
YCR024C-B,61,0,2,17
YCR025C,100,100,100,99
YCR026C,5,7,8,10
YCR027C,0,1,1,0
YCR028C,0,0,0,0
YCR028C-A,0,0,0,0
YCR030C,0,0,0,0
YCR031C,6,1,0,0
YCR032W,0,0,0,0
YCR033W,0,0,0,0
YCR034W,3,9,9,6
YCR035C,0,0,0,0
YCR036W,0,4,1,1
YCR037C,0,0,0,0
YCR038C,0,0,0,0
YCR038W-A,0,0,0,0
YCR039C,1,1,0,0
YCR040W,0,0,0,0
YCR041W,0,0,0,0
YCR042C,1,0,0,1
YCR043C,14,1,1,1
YCR044C,1,0,0,0
YCR045C,0,0,0,0
YCR045W-A,0,0,0,0
YCR046C,5,0,0,0
YCR047C,0,0,0,0
YCR047W-A,0,0,0,0
YCR048W,0,0,0,0
YCR049C,0,0,0,0
YCR050C,0,0,0,0
YCR051W,21,0,0,0
YCR052W,12,2,0,0
YCR053W,4,1,11,12
YCR054C,0,0,0,0
YCR057C,28,22,26,12
YCR059C,0,0,0,0
YCR060W,0,0,0,0
YCR061W,0,0,0,0
YCR063W,0,0,0,0
YCR064C,0,0,0,0
YCR065W,15,1,1,14
YCR066W,0,0,0,0
YCR067C,0,0,0,0
YCR068W,1,0,0,0
YCR069W,4,4,5,2
YCR071C,0,0,0,0
YCR072C,30,15,28,6
YCR073C,0,0,0,0
YCR073W-A,0,0,0,0
YCR075C,0,2,0,0
YCR075W-A,0,0,0,1
YCR076C,0,4,0,2
YCR077C,2,1,9,22
YCR079W,3,31,7,18
YCR081C-A,0,0,0,0
YCR081W,0,10,14,8
YCR082W,0,0,0,0
YCR083W,0,0,0,0
YCR084C,18,24,15,14
YCR085W,0,0,0,0
YCR086W,4,0,0,0
YCR087C-A,0,0,0,0
YCR087W,0,0,0,0
YCR088W,8,2,0,0
YCR089W,0,0,0,0
YCR090C,5,0,0,2
YCR091W,0,0,0,0
YCR092C,0,1,0,0
YCR093W,6,18,12,13
YCR094W,7,3,0,0
YCR095C,0,0,0,0
YCR095W-A,0,0,0,0
YCR096C,0,0,0,0
YCR097W,7,1,0,0
YCR097W-A,0,0,0,0
YCR098C,0,0,0,0
YCR099C,0,1,0,0
YCR100C,0,0,0,0
YCR101C,0,0,0,0
YCR102C,0,0,0,0
YCR102W-A,0,0,0,0
YCR104W,0,0,0,0
YCR105W,0,1,0,0
YCR106W,0,0,0,0
YCR107W,3,5,8,8
YCR108C,0,0,0,0
YDL001W,3,1,0,5
YDL002C,3,8,0,1
YDL003W,5,31,7,33
YDL004W,0,0,2,1
YDL005C,0,0,0,0
YDL006W,0,0,0,0
YDL007C-A,0,0,0,0
YDL007W,7,3,0,3
YDL008W,1,0,0,0
YDL009C,86,40,12,24
YDL010W,83,58,15,14
YDL011C,0,0,0,0
YDL012C,0,0,0,0
YDL013W,0,0,0,1
YDL014W,11,15,10,4
YDL015C,0,0,0,4
YDL016C,0,0,0,0
YDL017W,1,15,3,7
YDL018C,7,12,14,8
YDL019C,0,0,0,1
YDL020C,0,0,0,0
YDL021W,22,3,16,6
YDL022C-A,0,0,0,0
YDL022W,59,61,17,42
YDL023C,0,0,0,0
YDL024C,30,39,35,44
YDL025C,1,0,0,0
YDL025W-A,0,0,0,0
YDL026W,0,0,0,0
YDL027C,1,0,0,0
YDL028C,1,0,0,1
YDL029W,0,0,0,0
YDL030W,0,0,0,0
YDL031W,3,7,13,1
YDL032W,0,0,0,0
YDL033C,27,37,4,25
YDL034W,0,0,0,0
YDL035C,63,47,43,33
YDL036C,0,0,0,0
YDL037C,95,100,86,77
YDL039C,100,99,94,89
YDL040C,0,0,0,0
YDL041W,0,0,0,0
YDL042C,0,0,0,0
YDL043C,5,22,17,16
YDL044C,0,0,4,0
YDL045C,0,4,3,0
YDL045W-A,7,1,0,0
YDL046W,0,0,1,0
YDL047W,0,0,0,0
YDL048C,100,91,85,89
YDL049C,1,0,0,0
YDL050C,0,1,0,0
YDL051W,12,24,14,16
YDL052C,0,6,2,9
YDL053C,0,0,0,0
YDL054C,0,1,1,0
YDL055C,33,7,6,3
YDL056W,2,0,0,0
YDL057W,0,0,0,0
YDL058W,3,1,0,1
YDL059C,6,13,9,16
YDL060W,1,22,17,1
YDL061C,8,0,0,2
YDL062W,0,0,0,0
YDL063C,3,21,11,8
YDL064W,0,0,0,0
YDL065C,0,0,0,0
YDL066W,0,0,0,0
YDL067C,0,6,0,1
YDL068W,0,0,0,0
YDL069C,3,0,0,0
YDL070W,7,22,26,8
YDL071C,0,0,0,0
YDL072C,0,3,0,0
YDL073W,0,0,0,0
YDL074C,0,0,0,0
YDL075W,7,1,8,3
YDL076C,4,0,0,1
YDL077C,0,0,0,0
YDL078C,0,0,0,0
YDL079C,2,0,0,3
YDL080C,5,7,1,10
YDL081C,2,0,11,0
YDL082W,7,2,6,6
YDL083C,54,18,10,11
YDL084W,0,0,2,1
YDL085C-A,22,2,0,1
YDL085W,0,21,4,5
YDL086C-A,0,0,0,0
YDL086W,0,0,0,0
YDL087C,0,0,0,0
YDL088C,0,0,0,0
YDL089W,0,0,0,0
YDL090C,32,22,42,31
YDL091C,0,1,0,0
YDL092W,0,0,0,0
YDL093W,0,0,0,0
YDL094C,0,0,0,0
YDL095W,0,0,0,0
YDL096C,0,0,0,0
YDL097C,0,0,0,0
YDL098C,4,0,0,0
YDL099W,0,0,0,0
YDL100C,0,0,0,0
YDL101C,0,0,0,0
YDL102W,0,0,0,0
YDL103C,1,1,0,5
YDL104C,0,0,0,0
YDL105W,0,2,3,6
YDL106C,0,0,1,0
YDL107W,0,1,0,0
YDL108W,0,1,1,10
YDL109C,0,1,0,0
YDL110C,0,0,0,0
YDL111C,7,9,4,4
YDL112W,0,2,0,0
YDL113C,14,2,0,0
YDL114W,0,0,0,0
YDL114W-A,0,0,0,0
YDL115C,30,32,6,2
YDL116W,0,0,0,0
YDL117W,3,0,1,2
YDL118W,0,0,0,0
YDL119C,11,2,31,6
YDL120W,3,0,0,1
YDL121C,1,3,0,14
YDL122W,0,0,0,0
YDL123W,0,0,0,0
YDL124W,6,1,0,13
YDL125C,0,0,0,0
YDL126C,0,0,0,0
YDL127W,9,2,12,10
YDL128W,0,0,0,0
YDL129W,0,1,8,1
YDL130W,6,0,0,0
YDL130W-A,0,1,0,0
YDL131W,1,0,0,0
YDL132W,0,0,0,1
YDL133C-A,0,0,0,0
YDL133W,5,4,21,11
YDL134C,0,0,0,0
YDL135C,18,11,0,0
YDL136W,41,4,9,11
YDL137W,13,27,23,15
YDL138W,0,0,0,0
YDL139C,0,0,3,1
YDL140C,13,1,0,0
YDL141W,0,0,0,0
YDL142C,15,10,8,8
YDL143W,25,16,11,13
YDL144C,0,6,3,0
