YAL026C,1240,749,509,775,784,841,748,973,1084,987,1136,958
YAL026C-A,18,3,11,9,18,15,21,19,47,29,45,26
YAL027W,297,221,161,263,253,257,198,255,283,298,335,321
YAL028W,492,556,254,481,313,262,444,638,532,602,705,574
YAL029C,1791,1082,729,1064,1197,1216,1154,1294,1458,1453,1507,1458
YAL030W,747,727,421,681,473,449,752,924,784,1220,1326,1223
YAL031C,545,445,316,547,449,416,482,717,589,674,847,685
YAL031W-A,6,0,5,5,3,8,16,13,16,14,27,11
YAL032C,730,697,314,463,467,459,590,731,756,804,987,903
YAL033W,378,321,159,218,281,267,173,268,215,332,357,295
YAL034C,692,700,369,704,382,408,540,742,699,711,917,802
YAL034C-B,55,9,24,3,33,20,24,21,43,43,48,44
YAL034W-A,174,99,55,79,113,106,145,176,192,202,220,193
YAL035W,7752,5634,2430,3340,4836,4751,3307,4118,4231,4463,4219,4334
YAL036C,1073,793,356,316,691,654,404,507,524,539,387,431
YAL037C-A,44,7,31,16,51,23,7,5,67,14,24,8
YAL037C-B,408,78,208,20,196,322,119,157,266,163,87,123
YAL037W,68,34,11,48,51,69,73,77,96,115,100,92
YAL038W,38329,48542,15790,18838,20208,20506,12302,16484,10895,16050,13726,13322
YAL039C,2421,3056,1208,1642,1501,1370,1825,2288,2173,2657,3034,2861
YAL040C,1370,739,379,769,847,962,696,853,936,947,849,942
YAL041W,1000,662,392,613,653,676,582,742,695,875,858,850
YAL042C-A,0,0,0,1,0,0,0,0,0,0,1,0
YAL042W,4707,4845,2152,2594,2852,2646,3622,4554,4007,5226,5155,5104
YAL043C,1185,1163,504,698,780,813,811,1004,895,1188,1283,1133
YAL044C,1757,2152,901,1311,1100,1056,770,871,670,1114,977,1015
YAL044W-A,54,42,16,28,32,39,69,80,68,99,87,63
YAL045C,0,2,5,3,2,0,6,3,4,5,5,8
YAL046C,373,426,160,184,255,241,270,394,254,405,405,392
YAL047C,258,175,131,213,201,181,191,220,283,249,286,259
YAL047W-A,2,0,0,1,1,0,0,2,0,2,1,0
YAL048C,181,162,100,146,134,140,123,150,141,175,136,119
YAL049C,811,735,403,683,502,556,775,942,882,1120,1152,1045
YAL051W,659,345,295,468,459,457,458,573,612,632,728,582
YAL053W,3844,3841,2244,3742,2297,2373,4047,5028,4865,5796,6160,5520
YAL054C,351,384,187,245,250,228,317,500,468,584,725,479
YAL055W,438,456,214,299,300,230,427,520,411,615,631,655
YAL056C-A,5,1,2,1,7,5,2,3,4,1,3,7
YAL056W,1654,1130,647,973,1079,1053,1285,1531,1629,1660,1943,1757
YAL058W,383,299,152,262,237,237,238,317,297,316,295,319
YAL059C-A,1,0,0,0,0,0,0,0,0,0,0,0
YAL059W,227,98,62,82,183,221,52,69,125,92,103,81
YAL060W,1844,2427,1304,1454,1133,1067,1190,1680,1181,1829,2005,1596
YAL061W,2765,3457,1375,2118,1544,1268,489,767,464,749,756,662
YAL062W,593,743,269,394,343,380,522,719,510,753,857,714
YAL063C,430,503,201,266,267,281,314,455,369,419,518,414
YAL063C-A,4,1,4,6,7,4,7,7,8,10,12,16
YAL064C-A,64,93,27,41,28,36,41,61,50,54,60,46
YAL064W,8,3,4,6,4,4,4,24,18,12,22,19
YAL064W-B,30,60,21,13,22,15,22,26,25,27,32,26
YAL065C,34,60,13,29,25,33,32,55,39,47,56,53
YAL066W,0,0,1,0,0,1,0,0,0,0,0,0
YAL067C,21,10,20,24,29,21,40,51,73,79,81,67
YAL067W-A,0,1,0,0,1,1,0,1,1,1,2,0
YAL068C,18,18,6,7,8,5,13,15,10,22,21,21
YAL068W-A,0,0,0,0,0,0,0,0,0,0,0,0
YAL069W,0,0,0,0,0,0,0,0,0,0,0,0
YAR002C-A,1947,1463,886,1530,1332,1420,1482,1940,1778,2346,2175,2260
YAR002W,1274,605,432,718,823,906,590,778,871,871,905,906
YAR003W,575,496,288,399,486,465,501,611,534,707,685,657
YAR007C,758,559,398,575,514,539,802,965,973,1078,1190,1066
YAR008W,299,188,98,183,188,203,309,314,384,378,401,379
YAR009C,3097,1897,1250,1692,1834,1779,359,429,471,474,458,448
YAR010C,951,765,419,704,530,563,462,547,513,670,647,615
YAR014C,1435,1084,566,784,915,939,849,1095,1114,1020,1115,1045
YAR015W,2652,2176,1516,3188,2038,2108,1263,1460,957,1660,1304,1735
YAR018C,364,260,191,294,287,311,343,405,495,425,531,420
YAR019C,408,261,176,352,250,275,317,400,414,425,495,401
YAR019W-A,7,6,5,3,6,5,3,6,0,6,8,5
YAR020C,48,40,22,34,29,44,37,42,49,60,83,73
YAR023C,90,81,76,92,76,68,101,106,85,141,129,134
YAR027W,892,596,561,1002,651,643,755,1074,786,1385,1030,1217
YAR028W,413,290,176,312,288,297,319,490,320,523,446,454
YAR029W,37,16,7,35,31,26,20,22,17,26,31,30
YAR030C,49,26,12,18,36,32,24,25,23,35,30,50
YAR031W,231,159,115,205,150,143,171,212,219,250,249,256
YAR033W,326,327,147,270,227,224,221,304,293,377,365,345
YAR035C-A,1,2,0,1,2,1,4,6,9,3,7,6
YAR035W,262,475,144,180,146,127,348,475,427,463,616,480
YAR042W,1648,1458,798,1385,939,1028,1432,1824,1550,1561,1647,1679
YAR047C,15,1,11,7,8,9,6,3,8,10,10,11
YAR050W,411,509,157,253,252,271,240,332,275,345,339,312
YAR053W,11,4,3,12,11,1,14,20,20,23,31,16
YAR060C,3,0,2,3,5,4,3,6,6,8,9,3
YAR061W,7,9,1,2,4,4,4,1,5,6,3,4
YAR062W,19,12,4,5,10,8,11,8,14,17,12,9
YAR064W,27,43,18,19,13,15,8,30,16,24,46,29
YAR066W,52,67,23,67,41,39,49,80,48,62,68,66
YAR068W,203,196,58,123,99,99,254,291,237,330,364,356
YAR069C,5,5,2,0,3,4,2,3,5,4,3,1
YAR070C,7,5,3,6,4,4,4,3,6,8,7,2
YAR071W,4374,3755,1780,2065,2916,2967,162,215,161,206,218,181
YAR073W,437,309,179,252,292,349,107,165,141,167,174,175
YAR075W,297,268,112,122,185,158,86,98,129,134,142,117
YBL001C,1072,846,609,670,663,625,1189,1356,1305,1842,1831,1753
YBL002W,3429,1922,1872,2889,2293,2550,2289,3158,3349,4083,3694,3809
YBL003C,5640,3987,2808,2086,3883,4084,4762,6246,6080,8329,7144,7539
YBL004W,2134,1019,631,828,1563,1604,776,932,1387,1256,1059,1098
YBL005W,1005,630,428,724,759,818,296,310,364,413,399,380
YBL005W-A,0,0,0,0,0,0,0,0,0,0,0,0
YBL005W-B,3474,2235,1439,1948,2024,1873,475,559,560,589,643,596
YBL006C,1044,1395,525,760,661,700,616,845,646,994,988,977
YBL006W-A,0,0,0,0,0,0,0,0,0,0,0,0
YBL007C,3818,3685,1734,2702,2147,2180,2715,3662,2946,3790,4098,3694
YBL008W,405,283,158,255,345,315,274,345,313,374,396,323
YBL008W-A,5,2,2,1,3,6,1,3,4,2,4,2
YBL009W,469,239,134,217,309,360,207,298,355,321,308,294
YBL010C,232,134,93,155,170,165,209,256,240,338,298,323
YBL011W,1811,1485,932,1323,1232,1303,1271,1738,1727,1754,1903,1648
YBL012C,12,4,7,8,8,9,5,10,11,7,6,8
YBL013W,78,65,31,47,39,39,40,64,39,50,57,37
YBL014C,349,182,134,187,312,347,204,296,250,289,275,262
YBL015W,1005,1336,559,826,553,637,1086,1542,1427,1523,1858,1471
YBL016W,748,718,308,476,642,610,370,453,481,563,593,556
YBL017C,2947,2046,1370,2333,1695,1837,2399,3039,2746,3332,3372,3124
YBL018C,382,312,143,150,323,254,195,264,253,338,320,308
YBL019W,222,122,149,216,170,200,175,223,266,274,320,270
YBL020W,631,350,316,405,478,513,335,433,526,594,567,506
YBL021C,434,547,210,286,326,285,314,391,374,466,570,467
YBL022C,2251,1702,1082,1553,1428,1540,1262,1690,1677,1695,1930,1642
YBL023C,738,491,281,412,495,536,550,657,704,757,884,711
YBL024W,1449,758,582,721,1087,1282,554,628,782,825,778,730
YBL025W,166,115,102,115,132,127,119,177,141,218,184,193
YBL026W,545,271,302,501,474,467,351,433,485,642,611,595
YBL027W,22967,20851,9289,11523,16124,15738,11578,14166,13270,17217,15126,16194
YBL028C,425,169,162,177,363,435,78,110,223,147,148,155
YBL029C-A,318,190,189,385,182,174,251,338,291,452,387,442
YBL029W,344,298,139,356,282,282,301,421,391,481,541,478
YBL030C,4263,4118,2380,2246,2639,2551,3900,4790,4536,5751,5810,5452
YBL031W,290,205,132,232,262,288,176,194,222,275,321,306
YBL032W,1913,1753,953,1193,1310,1378,1018,1322,1380,1700,1672,1516
YBL033C,1275,1595,772,1008,849,757,1156,1485,1213,1730,1781,1794
YBL034C,324,168,150,228,215,237,230,251,286,292,310,289
YBL035C,256,155,107,163,164,201,204,216,201,275,233,261
YBL036C,771,465,325,510,552,599,425,600,643,676,683,660
YBL037W,646,530,327,505,452,479,387,535,452,531,571,502
YBL038W,612,467,303,511,502,483,368,491,526,656,687,633
YBL039C,1850,1051,486,515,1207,1264,370,439,542,548,406,444
YBL039C-A,0,0,0,0,0,0,0,0,0,0,0,0
YBL039W-B,114,64,90,84,88,85,122,124,155,210,203,209
YBL040C,962,708,580,1011,738,782,830,1227,1076,1591,1420,1335
YBL041W,3560,3082,2013,2337,2361,2338,3133,4015,3493,4959,4944,4905
YBL042C,691,426,263,425,396,420,549,808,567,827,697,741
YBL043W,120,136,66,77,53,59,108,157,148,132,229,169
YBL044W,26,27,14,10,8,10,103,153,108,156,239,194
YBL045C,2107,1839,1247,1865,1235,1271,1772,2312,1983,2239,2722,2255
YBL046W,1011,895,451,575,647,611,842,968,979,1133,1314,1181
YBL047C,4876,4393,2295,3634,2788,2875,3392,4534,3925,4341,4854,4364
YBL048W,23,13,8,22,21,33,24,18,45,47,49,50
YBL049W,93,94,69,101,86,78,104,152,177,210,217,183
YBL050W,1288,977,791,1205,960,1009,1087,1442,1493,1850,1950,1799
YBL051C,1872,1354,720,1225,1200,1252,1005,1319,1322,1108,1434,1200
YBL052C,531,213,211,313,367,392,295,337,500,349,412,323
YBL053W,5,4,3,1,6,9,3,4,9,8,7,5
YBL054W,516,297,127,147,427,412,81,94,181,136,139,119
YBL055C,1043,870,443,664,650,786,544,703,656,816,750,802
YBL056W,3555,3114,1852,2455,2447,2370,2062,2826,2473,2961,3175,2713
YBL057C,1110,1206,466,744,879,734,801,940,807,1293,1220,1183
YBL058W,2999,2873,1672,2252,2113,2131,2086,2639,2482,3020,3078,2968
YBL059C-A,255,173,122,216,171,203,167,224,193,318,273,278
YBL059W,182,191,104,174,147,126,156,170,219,246,267,229
YBL060W,387,257,213,254,279,300,345,394,450,376,503,438
YBL061C,1051,879,467,662,655,716,522,701,664,589,780,627
YBL062W,1,1,4,0,4,6,4,5,2,3,3,5
YBL063W,406,289,184,316,299,291,268,303,301,320,359,318
YBL064C,1091,1242,863,949,815,736,904,1224,1002,1396,1737,1355
YBL065W,3,3,0,3,1,3,4,1,2,6,9,0
YBL066C,360,267,179,314,217,239,402,531,465,463,586,460
YBL067C,902,541,465,785,719,742,646,856,1064,1003,1041,935
YBL068W,819,537,300,411,627,622,310,370,446,554,494,448
