YAR002W,857,554,823,773,930,896
YAR003W,471,392,486,633,663,619
YAR007C,499,556,514,938,1153,1077
YAR008W,191,142,188,360,417,464
YAR009C,2041,1859,1834,474,455,479
YAR010C,644,584,530,579,606,534
YAR014C,1063,768,915,1124,1192,1042
YAR015W,1606,3017,2038,1202,1681,1206
YAR018C,325,248,287,462,498,486
YAR019C,301,215,250,419,481,446
YAR019W-A,1,5,6,10,9,7
YAR020C,43,30,29,63,66,58
YAR023C,76,91,76,112,144,142
YAR027W,714,854,651,782,1286,945
YAR028W,276,325,288,437,427,355
YAR029W,45,15,31,15,29,29
YAR030C,22,20,36,31,40,38
YAR031W,156,170,150,172,249,238
YAR033W,248,231,227,311,352,330
YAR035C-A,1,2,2,3,4,6
YAR035W,180,178,146,602,472,429
YAR042W,1248,1063,939,1650,1841,1411
YAR047C,5,1,8,6,9,12
YAR050W,280,272,252,424,291,269
YAR053W,9,3,11,22,19,31
YAR060C,2,1,5,4,5,4
YAR061W,4,5,4,6,5,2
YAR062W,10,13,10,19,14,8
YAR064W,23,18,13,30,32,24
YAR066W,50,48,41,79,69,54
YAR068W,100,89,99,374,297,250
YAR069C,2,1,3,3,1,5
YAR070C,3,2,4,3,3,1
YAR071W,2824,2456,2916,231,185,224
YAR073W,327,277,292,153,146,147
YAR075W,149,152,185,126,128,105
YBL001C,717,789,663,1453,1660,1643
YBL002W,2576,1733,2293,3008,4423,4507
YBL003C,3846,3311,3883,5931,7802,7543
YBL004W,1622,815,1563,1167,1189,1288
YBL005W,695,542,759,349,434,378
YBL005W-A,0,0,0,0,0,0
YBL005W-B,2192,2144,2024,684,550,616
YBL006C,692,693,661,900,983,791
YBL006W-A,0,0,0,0,0,0
YBL007C,2511,2570,2147,3765,3668,3196
YBL008W,312,227,345,322,372,378
YBL008W-A,2,3,3,2,4,4
YBL009W,312,209,309,358,348,377
YBL010C,173,148,170,228,297,238
YBL011W,1392,1054,1232,1850,1733,1802
YBL012C,19,8,8,8,17,9
YBL013W,45,36,39,59,62,49
YBL014C,327,156,312,243,290,286
YBL015W,703,752,553,1966,1462,1539
YBL016W,496,376,642,558,543,544
YBL017C,2176,2115,1695,2942,3165,2880
YBL018C,260,215,323,349,292,369
YBL019W,189,157,170,234,301,281
YBL020W,438,311,478,467,573,640
YBL021C,311,244,326,460,411,484
YBL022C,1690,1430,1428,1650,1774,1783
YBL023C,479,481,495,706,813,767
YBL024W,1052,660,1087,697,758,882
YBL025W,137,111,132,182,172,171
YBL026W,387,437,474,477,621,636
YBL027W,13968,13893,16124,15486,15187,14125
YBL028C,298,145,363,153,159,249
YBL029C-A,206,226,182,269,451,377
YBL029W,223,252,282,459,449,518
YBL030C,2819,3145,2639,5080,5172,4957
YBL031W,173,148,262,193,313,271
YBL032W,1227,1055,1310,1430,1649,1484
YBL033C,736,934,849,1652,1633,1417
YBL034C,228,183,215,280,322,303
YBL035C,176,149,164,189,327,259
YBL036C,492,451,552,631,682,672
YBL037W,496,495,452,515,516,517
YBL038W,473,413,502,532,655,666
YBL039C,1358,713,1207,551,497,579
YBL039C-A,0,0,0,0,0,0
YBL039W-B,83,74,88,141,216,208
